robot,arm,window,start_time,end_time,position_rmse,mean_nees,p95_nees,coverage95_rate,update_rate,maximum_landmarks_used,outage_fraction,outage_rmse,mean_topology_components,mean_topology_edges,minimum_topology_components,maximum_topology_components,mean_clock_alignment_error,runtime_seconds,finite
2,odometry_only,10,1248444791.043,1248444850.543,3.0666540716307815,0.10711367115367715,0.24278740934127305,1.0,0.0,0.0,0.0,0.0,1.5666666666666667,4.766666666666667,1,4,0.0,0.015607673577809086,True
2,odometry_only,11,1248444851.043,1248444910.543,7.881464346305245,0.6757254282326157,0.9327193465124396,1.0,0.0,0.0,0.18333333333333332,9.236797193080386,2.0833333333333335,4.358333333333333,1,4,0.0,0.015607673577809086,True
3,odometry_only,0,1248444191.043,1248444250.543,0.4926396421792894,0.045776551394370764,0.0967004309714273,1.0,0.0,0.0,0.24166666666666667,0.18978450939450325,2.025,3.9583333333333335,1,5,0.0,0.01550600000579531,True
3,odometry_only,1,1248444251.043,1248444310.543,1.2996968639183042,0.10040458746355087,0.1261866460526033,1.0,0.0,0.0,0.275,1.3998908787450786,3.175,2.625,1,5,0.0,0.01550600000579531,True
3,odometry_only,2,1248444311.043,1248444370.543,1.3561800815839937,0.0738884501619907,0.08969835325684321,1.0,0.0,0.0,0.0,0.0,2.4583333333333335,2.816666666666667,1,4,0.0,0.01550600000579531,True
3,odometry_only,3,1248444371.043,1248444430.543,1.4075527913953951,0.04259570369379271,0.0558754470836979,1.0,0.0,0.0,0.43333333333333335,1.48155712735757,1.8833333333333333,4.425,1,4,0.0,0.01550600000579531,True
3,odometry_only,4,1248444431.043,1248444490.543,1.0028943402823622,0.024081278842006473,0.02795431094945656,1.0,0.0,0.0,0.075,0.8460496217927718,2.85,2.4916666666666667,2,5,0.0,0.01550600000579531,True
3,odometry_only,5,1248444491.043,1248444550.543,2.686147254439719,0.05609004532263657,0.08590093063100854,1.0,0.0,0.0,0.35833333333333334,3.246474292357111,2.7333333333333334,2.566666666666667,2,5,0.0,0.01550600000579531,True
3,odometry_only,6,1248444551.043,1248444610.543,1.6740156774006774,0.04076926330106971,0.08716837244698965,1.0,0.0,0.0,0.041666666666666664,3.1601875180781787,2.033333333333333,3.6666666666666665,1,5,0.0,0.01550600000579531,True
3,odometry_only,7,1248444611.043,1248444670.543,2.9357175393324932,0.13018590858644358,0.19155237565877964,1.0,0.0,0.0,0.016666666666666666,3.0419828207222968,3.2333333333333334,1.9916666666666667,1,5,0.0,0.01550600000579531,True
