metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.772180198302467,1.7695648381513411,0.0026153601511257228,-0.014074996940387455,0.01952778119457546,20,0,20,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9639062500000002,0.9646874999999999,0.0007812499999999972,-0.0015624999999999944,0.002812499999999998,15,15,10,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,2.0975,2.09171875,0.005781250000000004,-0.011566406250000017,0.02515625000000002,18,2,20,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,1.1557402256083897,1.1409227525247134,0.01481747308367618,0.00834766085086716,0.020917840121014913,36,0,4,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.3808823252664558,0.3771388255827919,0.003743499683663905,-0.00216616321584603,0.009516080046935377,21,0,19,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9685723754274174,0.9547299086774019,0.01384246675001534,0.010459949263821837,0.017330862368011363,36,0,4,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.7563326240701784,1.7695648381513411,-0.013232214081163008,-0.03017418315631007,0.0037072478498295248,14,0,26,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.96546875,0.9646874999999999,-0.00078125,-0.0035937499999999954,0.0018749999999999934,12,15,13,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,2.13953125,2.09171875,0.047812499999999966,0.02531249999999997,0.07219140624999994,28,2,10,partition_only,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,1.1557402256083897,1.143204013380604,0.012536212227785587,0.005847875113825716,0.01900608466149498,29,0,11,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.3808823252664558,0.3788909059177135,0.001991419348742264,-0.003710911526135697,0.008047488677030189,19,0,21,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9685723754274174,0.955391384328613,0.013180991098804162,0.009396414419227629,0.01704195825727962,32,0,8,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.7563326240701784,1.772180198302467,-0.01584757423228873,-0.031546521648406545,3.071063697301746e-05,13,0,27,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
