scenario,algorithm,runs,integrated_loss_mean,integrated_loss_std,decision_loss_mean,decision_loss_std,position_rmse_mean,position_rmse_std,movement_distance_mean,movement_distance_std,movement_per_step_mean,movement_per_step_std,wrong_mode_action_rate_mean,wrong_mode_action_rate_std,mean_nees_mean,mean_nees_std,p95_nees_mean,p95_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_delivery_ratio_mean,mean_delivery_ratio_std,mean_topology_components_mean,mean_topology_components_std,mean_missing_evidence_residual_mass_mean,mean_missing_evidence_residual_mass_std,investigation_request_rate_mean,investigation_request_rate_std,investigation_residual_guard_rate_mean,investigation_residual_guard_rate_std,investigation_replan_rate_mean,investigation_replan_rate_std,investigation_active_motion_rate_mean,investigation_active_motion_rate_std,investigation_probe_rate_mean,investigation_probe_rate_std,mean_investigation_active_agents_mean,mean_investigation_active_agents_std,mean_investigation_mode_count_mean,mean_investigation_mode_count_std,investigation_planning_sequences_mean,investigation_planning_sequences_std,runtime_seconds_mean,runtime_seconds_std
asymmetric_partition,flocking_topology_admission_round_robin,40,1.1772521365967537,0.1328378876995228,0.4129906957755674,0.061295575541374686,0.44676945767441545,0.05419548970371113,152.85228816423722,21.838533124775896,0.9553268010264828,0.13649083202984935,0.0,0.0,1.7608925605815084,0.1465232746718404,5.306827799797561,0.6041145901775586,0.9659375000000001,0.015177980555726112,1.0,0.0,1.97984375,0.09626306222241998,0.02736041105712156,0.009399729809845768,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,9.017541128216545,0.2883654631877503
asymmetric_partition,flocking_topology_admission_receding_voi,40,1.176361603869362,0.13255088420253083,0.4140437112331826,0.06212711487129963,0.4476335089569222,0.053463133183176824,152.46357852723582,21.969085696964004,0.9528973657952239,0.13730678560602502,0.0,0.0,1.7618274163324696,0.13537161125222028,5.316804353473432,0.5554127215690658,0.965625,0.015372967345311052,1.0,0.0,1.9990625000000002,0.1115983835848441,0.027141703159982822,0.009447706962894431,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,9.069267193763517,0.3566650852472451
failure_partition,flocking_topology_admission_posterior,40,1.1376579050423126,0.10520828677067273,0.38424479651945315,0.04086169252844429,0.41534024699698263,0.03363388489571502,150.68262170457183,18.544350531884543,0.941766385653574,0.11590219082427841,0.0,0.0,1.7721793871005278,0.16655805659675849,5.180515667082064,0.5517859627302946,0.9646875000000001,0.014013804577986674,1.0,0.0,1.6853124999999998,0.0822718198640944,0.02325616063888023,0.007222195702238585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7104995156114455,0.4123086164992685
failure_partition,flocking_topology_admission_round_robin,40,1.1294561629211475,0.10737029560555476,0.3850055181778219,0.0401696506192855,0.4145216663351123,0.03324136280770307,148.8901289486651,18.612508198054716,0.9305633059291569,0.11632817623784196,0.0,0.0,1.764502579370094,0.1519825515204913,5.211195532977061,0.6186095632176163,0.9649999999999999,0.012716868718359881,1.0,0.0,1.6775000000000002,0.0973556623931038,0.023576426374177742,0.007094070099553153,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,7.739423848944716,0.3057277224883758
failure_partition,flocking_topology_admission_receding_voi,40,1.1261044384760988,0.10442588944444416,0.3821274520956701,0.038154334479933216,0.41310534086885475,0.03525096778029379,148.79539727608568,18.7505968245718,0.9299712329755356,0.11719123015357374,0.0,0.0,1.7607430290989654,0.1513009807334697,5.2494128373655355,0.6138823285974169,0.9650000000000001,0.014031215200402286,1.0,0.0,1.6815625,0.09651090854794601,0.023189709241082553,0.006706874140372917,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,7.816897492733551,0.32156859452515457
staggered_rejoin,flocking_topology_admission_posterior,40,1.0608372034121438,0.10051828263832806,0.31425392214422454,0.017118336197978663,0.35159693707606554,0.01658373444431198,149.31665625358383,18.358395007057304,0.9332291015848989,0.11473996879410814,0.0,0.0,1.7646373776755475,0.14533794584056614,5.1834322366166035,0.5644998512442976,0.96421875,0.013692172433091093,1.0,0.0,1.01390625,0.012302145074640423,0.015717578406199948,0.0030010197230852234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.370982572837965,0.16263121616232643
staggered_rejoin,flocking_topology_admission_round_robin,40,1.053869722617894,0.1004090107866234,0.3163779720756068,0.015962983449623713,0.35346677600946835,0.015439634719938032,147.4983501084574,18.437828741043525,0.9218646881778589,0.11523642963152203,0.0,0.0,1.7710857694060393,0.1413663863427383,5.169630039298433,0.5325045032872665,0.9665625,0.013803164265848607,1.0,0.0,1.021875,0.015372967345311057,0.015951097559985507,0.0030920053028893743,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,8.438496436568675,0.2198668239831181
staggered_rejoin,flocking_topology_admission_receding_voi,40,1.0533536232310357,0.1004312151686529,0.3169453731806312,0.015523277979326356,0.3537478704898335,0.01522850416201728,147.2816500100809,18.425685945145517,0.9205103125630055,0.11516053715715946,0.0,0.0,1.7690780538744704,0.1368356639895397,5.216401679375683,0.5384095254423495,0.9653124999999999,0.014248766393972486,1.0,0.0,1.02234375,0.01682211040379594,0.01606814689133083,0.0031705695167810644,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,8.574091220868286,0.3384372574725812
flapping_reconnect,flocking_topology_admission_posterior,40,1.1014113822728233,0.1174545819468598,0.3183718698576311,0.02895395416720175,0.35739247159702,0.02982706493397528,156.60790248303846,21.648103543535225,0.9787993905189903,0.13530064714709517,0.0,0.0,1.7775586487752082,0.16987970116068327,5.246249040465402,0.6542245272896974,0.9649999999999999,0.01704772712123233,1.0,0.0,1.4835937499999998,0.0365688429327139,0.01811489430779321,0.004993423366131376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.968375861423556,0.29719385968559103
flapping_reconnect,flocking_topology_admission_round_robin,40,1.0941718428035652,0.1144774865013878,0.31974050407736526,0.029001913488607544,0.35855643232207335,0.02929748596282444,154.88626774524,21.48542536405668,0.9680391734077498,0.13428390852535424,0.0,0.0,1.7677537222840116,0.16084951501640313,5.196798420790158,0.6579571262275948,0.96640625,0.01715551000225583,1.0,0.0,1.5001562499999999,0.05326246002990758,0.017955289868016467,0.0049969914191380456,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,10.056944661505986,0.23059289865418214
flapping_reconnect,flocking_topology_admission_receding_voi,40,1.0962244541666595,0.11465045973736897,0.32050059759118915,0.02899067319253059,0.35925640012927096,0.030367189084873226,155.14477131509406,21.7364038681669,0.9696548207193381,0.13585252417604313,0.0,0.0,1.776250740781645,0.15935296068755345,5.235098475907757,0.6503425275146919,0.9646875000000001,0.016271020058681022,1.0,0.0,1.4928125,0.053464905253352873,0.018089084077697205,0.004568307034960185,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,10.156744404271013,0.29248546235341205
false_split_dropout,flocking_topology_admission_posterior,40,1.1093478161894095,0.1069432593095887,0.2845533578810343,0.013484894357474977,0.32159030784998316,0.014459216790902124,164.95889166167504,20.557587363732647,1.0309930728854688,0.12848492102332904,0.0,0.0,1.8041535269136157,0.13653305585955158,5.2898075767992525,0.5569382415564066,0.96328125,0.013563184026529305,0.6516276041666667,0.01595992494884703,1.0990625,0.03594565124949053,0.013896257111389254,0.0025013440819101718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.472469094768167,0.2607239804202975
false_split_dropout,flocking_topology_admission_round_robin,40,1.0987253811213682,0.10592035826253668,0.28623872900447267,0.014694547750512392,0.3222537725685385,0.013529594371363848,162.49733042337908,20.077749337083205,1.0156083151461193,0.12548593335677002,0.0,0.0,1.7963142889673762,0.1385922367920321,5.314634302011018,0.6371832457012132,0.965625,0.013184389443580607,0.6515169270833334,0.013600369494536248,1.10265625,0.03832140750856499,0.014408281459313882,0.0032126336829509166,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.09953125,0.001646195898883242,0.99671875,0.007653060560161529,0.0,0.0,9.424607096763793,0.17631244470581423
false_split_dropout,flocking_topology_admission_receding_voi,40,1.0959063139567697,0.10418849365291506,0.2863369687892323,0.01278142505252144,0.32360056378928614,0.014370972524895552,161.91386903350744,20.26220643788436,1.0119616814594217,0.12663879023677727,0.0,0.0,1.794841666229638,0.14255506559447478,5.281716469819754,0.606147618714977,0.96484375,0.013953571171477925,0.65224609375,0.014420205506982439,1.1128125,0.03573857990673384,0.013972192608430457,0.0020410577591300043,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0003125,0.0019515618744994994,0.0003125,0.0019515618744994994,0.000625,0.0039031237489989988,0.99671875,0.007653060560161529,25.0,0.0,9.428719731140882,0.3013392059735514
admission_censoring_control,flocking_topology_admission_posterior,40,1.125973803598129,0.11766457642550195,0.34399482301793316,0.03152515640014547,0.3821862211470344,0.031146226116954914,156.39579611603918,21.287861736557378,0.9774737257252448,0.1330491358534836,0.0,0.0,1.7450657005719674,0.16248525386109502,5.165388737313611,0.5910855277615954,0.96484375,0.011915023014560221,1.0,0.0,1.59984375,0.0712265243672433,0.02023870406804328,0.004262450690766595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.241988774971105,0.3322506687788452
admission_censoring_control,flocking_topology_admission_round_robin,40,1.1228581629622787,0.1147425830228988,0.34666646175001464,0.03004269603685427,0.38454933703609695,0.02859667517890312,155.23834024245284,21.089728178122094,0.9702396265153302,0.13181080111326307,0.0,0.0,1.749117110582953,0.15417096300253338,5.231013815652128,0.6125353535472906,0.9653124999999999,0.014111027381094543,1.0,0.0,1.6134374999999999,0.05533191749569138,0.020823514615959306,0.004391922577802221,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0125,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,7.114670097886119,0.2727825630453327
admission_censoring_control,flocking_topology_admission_receding_voi,40,1.1222121951988038,0.11503241672111297,0.3476236615253298,0.02964087917611693,0.38520225094858335,0.02969195623237748,154.91770673469478,21.009311680115147,0.9682356670918424,0.13130819800071966,0.0,0.0,1.7403441735476144,0.1498461469112507,5.158726699982201,0.5723387457421295,0.9657812499999998,0.014319696607732298,1.0,0.0,1.6096874999999997,0.058779081897814625,0.021014836198885493,0.004573839849783357,0.0125,0.0,0.0,0.0,0.00625,0.0,0.0015625,0.004133986423538423,0.0015625,0.004133986423538423,0.003125,0.008267972847076846,1.0,0.0,25.0,0.0,7.087189330189721,0.4126324670511966
source_assignment_competition,flocking_topology_admission_posterior,40,1.8366102287932464,0.18573154279059229,1.0559491579289182,0.0998591118782417,1.190037083024793,0.10615613128171936,156.13221417286564,21.405775603498473,0.9758263385804102,0.13378609752186543,0.0,0.0,1.6272096140289336,0.21623805028366266,4.668850442101423,0.7426687487903405,0.97578125,0.015448218697879056,1.0,0.0,1.0018749999999998,0.004001952648395529,0.019816398174714842,0.004544429430844514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.631466962478589,0.48719883180555473
source_assignment_competition,flocking_topology_admission_round_robin,40,1.8306631681985686,0.17561899690421343,1.0362006882932975,0.09105273368850206,1.1675102596244114,0.09723055838617232,158.8924959810542,20.780290959273437,0.9930780998815887,0.12987681849545896,0.0,0.0,1.6269600513456441,0.20949155286590618,4.649345973121386,0.7180545398096919,0.9739062500000001,0.01611042825121356,1.0,0.0,1.00140625,0.0038241369532876434,0.01982974183104827,0.004601787720523748,0.0859375,0.025416453209486174,0.0,0.0,0.031093749999999996,0.009109522404467755,0.08562499999999999,0.02520230644206994,0.0,0.0,0.6849999999999999,0.20161845153655952,0.55,0.10355025953613056,0.0,0.0,4.140025074995355,0.3651953061681129
source_assignment_competition,flocking_topology_admission_receding_voi,40,1.824658362587013,0.17988886363220913,1.048051459427609,0.09366625823823395,1.1810115558734646,0.10037851025210617,155.32138063188077,21.27424883962809,0.9707586289492548,0.13296405524767557,0.0,0.0,1.628232604804286,0.21064740687937464,4.68166544197942,0.7671244680473813,0.9746874999999999,0.01665070850594653,1.0,0.0,1.00140625,0.004071504443998561,0.01984522853232102,0.0045697266878226925,0.105625,0.03356430395524388,0.0,0.0,0.03765625,0.01122284047990971,0.025312500000000005,0.020867420030995686,0.022968750000000003,0.019832674074302236,0.0646875,0.07026109231822403,0.6434374999999999,0.12531172069583116,150.625,44.89136191963884,4.698736355296569,0.5408463258779659
raw_channel_colluding_ramp,flocking_topology_admission_posterior,40,4.297992685238896,0.11117137420590073,3.4997422611710567,0.042615110442766904,3.139669996662731,0.03865540250036682,159.6500848135678,21.017459628765085,0.9978130300847987,0.13135912267978178,0.0,0.0,397.89221375170524,13.136885080257487,705.5106025908486,24.268962747293315,0.160625,0.010843344733060922,1.0,0.0,1.00703125,0.012746591149695672,0.7807094329159294,0.008638785144025024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.770193359459517,0.32070110710381494
raw_channel_colluding_ramp,flocking_topology_admission_round_robin,40,4.289638516669291,0.11283421049921137,3.507622118556243,0.04415101911047932,3.1477463583840333,0.03956717390667096,156.4032796226097,21.579124876561885,0.9775204976413108,0.13486953047851177,0.0,0.0,402.5255061455365,13.721925643198668,707.5528474275384,23.94352255204543,0.16015625,0.011412669426453219,1.0,0.0,1.00484375,0.00952868818030582,0.7811023085043793,0.008827850715947721,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.707447179238079,0.5934768838775998
raw_channel_colluding_ramp,flocking_topology_admission_receding_voi,40,4.289638516669291,0.11283421049921137,3.507622118556243,0.04415101911047932,3.1477463583840333,0.03956717390667096,156.4032796226097,21.579124876561885,0.9775204976413108,0.13486953047851177,0.0,0.0,402.5255061455365,13.721925643198668,707.5528474275384,23.94352255204543,0.16015625,0.011412669426453219,1.0,0.0,1.00484375,0.00952868818030582,0.7811023085043793,0.008827850715947721,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.480515861528692,1.1435694267639864
