algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_robust_active,5049,2.3306817173753087,0.6196993694927952,0.7561755952380953,1.0324375526776084,0.7027500526776083,0.56875,0.0,0.43125,0.0625,0.4,0.025,0.5575148809523809,77,1.1450639977510522,4.9485474200740684,0.9512797619047619,2.1574840580198136,3.6793344751065375,5.014328216683152,1.8928292539091955,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.48125,5.9125,0.762797619047619,0.23563988095238098,0.05,0.0375,0.18125,1.5824241203121543,168.61400062713284,1.0013452088460326,transient_reference,2.9485474200740684,0.001279761904761978
flocking_robust_active,5050,2.1830071883992352,0.820966650401732,0.7688616071428571,0.9753114859657849,0.6496864859657849,0.575,0.0,0.425,0.06875,0.0,0.0,0.5713169642857142,75,0.8430143390486596,2.705862112305349,0.9272321428571428,2.0856560143267413,3.6942333673431684,4.986414075800335,1.8342372657251196,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.475,0.4625,6.01875,0.7696428571428571,0.22879464285714288,0.0,0.0,0.14375,1.5462533685368705,146.55758762414592,0.995097832987085,transient_reference,0.7058621123053488,0.022767857142857117
flocking_robust_active,5051,2.1405375700759937,0.629979999426578,0.7660714285714285,0.9042646043008606,0.5739521043008606,0.56875,0.0,0.43125,0.06875,0.1111111111111111,0.00625,0.5633928571428571,76,0.6566611455537934,1.607438983077205,0.98046875,1.91391689814753,3.689082637063952,5.06515163518718,1.8850272377948323,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.46875,0.46875,6.0625,0.7660714285714285,0.23392857142857143,0.0,0.0,0.06875,1.5324042915429827,168.72381292162467,0.9915447079110891,transient_reference,0.3925610169227951,0.030468750000000044
flocking_robust_active,5052,2.0814013653967787,0.7254148014757132,0.7543526785714285,1.0049635439397502,0.6705885439397502,0.5625,0.0,0.4375,0.0625,0.2222222222222222,0.0125,0.5651785714285714,77,0.7629613444202231,2.2014206356706856,0.9504464285714285,2.1814930142699094,3.685703901559451,5.080190123746101,1.8357287549820238,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5,0.48125,6.01875,0.7599330357142857,0.2369419642857143,0.0,0.0,0.075,1.540874166053791,171.39287572261443,1.010463124839589,transient_reference,0.20142063567068558,0.00044642857142851433
flocking_robust_active,5053,2.160930080247624,0.6421830082176688,0.7647321428571429,0.9164376425905761,0.5773751425905762,0.55625,0.0,0.44375,0.0625,0.0,0.0,0.5607142857142857,76,0.6744370134941444,1.6317496140946814,0.98671875,1.9184529092815914,3.6697625932412086,5.057196293579279,1.9145294962311588,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.475,5.9625,0.7647321428571429,0.23448660714285713,0.0,0.0,0.18125,1.5395252498239045,201.97798066059687,1.0221633329056203,transient_reference,0.36825038590531856,0.03671875000000002
flocking_robust_active,5054,2.2161289654880845,0.6619506008210109,0.7592261904761904,0.9493434771065397,0.6149684771065397,0.5625,0.0,0.4375,0.0625,0.1111111111111111,0.00625,0.5642857142857143,77,0.6939963693423796,1.8138927433942356,0.9706250000000001,2.0527226956054627,3.6886703397459413,5.067482433056442,1.8746994643046624,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.48125,0.48125,5.99375,0.7613095238095238,0.23869047619047618,0.0,0.0,0.1125,1.5559632569569168,120.89056334771628,0.9799110000021756,transient_reference,0.18610725660576444,0.020625000000000115
flocking_robust_active,5055,2.154429383257672,0.6160678002162273,0.7616741071428572,0.875049028918934,0.5453615289189342,0.56875,0.0,0.43125,0.0625,0.0,0.0,0.560327380952381,76,0.6246483429431169,1.4674929203435134,0.9847842261904762,2.0591114837289917,3.6758829650175366,5.064554893088607,1.924684277182512,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.475,5.93125,0.7640178571428572,0.2341592261904762,0.025,0.025,0.19375,1.5648492550051025,181.3194616904496,0.9731617090292275,transient_reference,0.5325070796564866,0.034784226190476275
flocking_robust_active,5056,2.2652829804518904,0.6587932289335872,0.7616145833333332,1.0162462283516824,0.6906212283516824,0.575,0.0,0.425,0.06875,0.3,0.01875,0.5582812500000001,76,0.9948223182848498,3.783739743883339,0.9671875,2.031405140586702,3.69210041000996,5.066916461079371,1.815727806331564,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.46875,6.00625,0.7672916666666666,0.23036458333333334,0.0,0.0,0.14375,1.5367749139889662,131.91289832190927,1.0141077090520412,transient_reference,1.7837397438833391,0.017187500000000022
flocking_robust_active,5057,2.2020844702637086,0.6292950701828266,0.7574776785714286,0.8953200732405246,0.5562575732405246,0.55625,0.0,0.44375,0.0625,0.0,0.0,0.5571428571428572,77,0.6414434957941252,1.5380457611624194,0.98046875,1.8615016755789153,3.685384859063609,5.153285237958127,1.9182525152380738,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5,0.48125,6.025,0.7590401785714286,0.23861607142857144,0.0,0.0,0.05,1.561415905924991,131.41202915704594,1.0376658749300987,transient_reference,0.4619542388375806,0.030468750000000044
flocking_robust_active,5058,2.1466060189942353,0.6381522579055096,0.7566964285714286,0.9103577644364664,0.5712952644364664,0.55625,0.0,0.44375,0.0625,0.1111111111111111,0.00625,0.5598214285714286,78,0.680213747196206,1.7236646879053883,0.9729166666666667,2.1353205507215547,3.693880577347481,5.081734307459046,1.8851433869661356,8.0,1.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.4875,0.4875,5.975,0.7584821428571428,0.24151785714285712,0.00625,0.00625,0.1125,1.5870054207497395,129.1278384659819,0.9847105420194566,transient_reference,0.2763353120946117,0.022916666666666696
