scenario,seed,runtime_seconds,motion_distance_difference,current_algorithm,current_seed,current_position_rmse,current_best_hypothesis_rmse,current_mean_truth_consistent_flock_weight,current_decision_loss,current_mean_decision_base_error,current_selection_rate,current_mixture_rate,current_abstention_rate,current_investigation_rate,current_wrong_mode_rate,current_wrong_mode_action_rate,current_mean_output_confidence,current_ambiguity_resolution_steps,current_agent_position_rmse,current_mean_nees,current_p95_nees,current_max_nees,current_coverage95_rate,current_rejoin_window_nees,current_mean_nis,current_information_gain,current_spatial_diversity,current_estimate_disagreement,current_mean_operational_agents,current_mean_delivery_ratio,current_mean_message_age,current_partition_active_rate,current_partition_selection_rate,current_mean_topology_components,current_mean_observer_component_size,current_mean_topology_visibility_fraction,current_mean_topology_live_support,current_mean_topology_retained_support,current_mean_topology_unknown_support,current_mean_topology_probation_agents,current_topology_rejoin_events,current_topology_merge_grace_rate,current_topology_epoch_changes,current_mean_duplicate_support_suppressed,current_topology_selection_blocked_rate,current_mean_missing_evidence_residual_mass,current_mean_missing_evidence_model_nis,current_mean_missing_evidence_assignment_entropy,current_mean_missing_evidence_predicted_risk,current_mean_missing_evidence_predicted_wrong_risk,current_mean_missing_evidence_credible_modes,current_max_primary_support_jump,current_recovery_steps,current_messages,current_bytes_sent,current_mean_momentum,current_mean_momentum_change_score,current_mean_momentum_corroborating_agents,current_mean_momentum_biased_agents,current_momentum_fallback_rate,current_momentum_change_events,current_mean_hypothesis_flocks,current_multiflock_rate,current_mean_primary_flock_size,current_mean_primary_flock_weight,current_mean_alternative_flock_weight,current_mean_quarantined_agents,current_quarantine_rate,current_mean_suspected_bias_agents,current_mean_bias_estimate_norm,current_movement_distance,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_max_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_predicted_risk,candidate_mean_predicted_wrong_risk,candidate_mean_credible_modes,candidate_mean_visible_agents,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
unmodelled_offset,13003,1.2698686250951141,0.0,flocking_topology_resilient,13003,2.3175351948597944,0.6854014010115008,0.74453125,0.9730191353448742,0.6245816353448743,0.54375,0.0,0.45625,0.0625,0.0,0.0,0.53125,77,0.6822819725202937,1.75144659025525,4.472846640767872,8.761792516014404,0.9763020833333333,0.0,1.9705667633577353,3.6822510889386506,5.058711917669797,1.9329410788807906,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9125,0.36144139919359997,0.0109375,0.0,0,0.0,0,51.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.58125,0.5,5.99375,0.74921875,0.23828125,0.00625,0.00625,0.0875,1.6557802407519042,192.1796493978397,0.9819458785070596,0.6538208785070596,0.7983260541512075,0.7983260541512075,0.5625,0.0,0.4375,0.0,11.639489403446117,34.94695807971469,55.56066761502435,0.51875,0.1509651570426196,0.5702140452333777,3.0468050741530517,0.12500000000017503,1.591781314272564,0.1509651570426196,1.0,7.9125,192.1796493978397,,,
unmodelled_offset,13004,1.2702574171125889,0.0,flocking_topology_resilient,13004,2.3154412206985975,0.6284936874661852,0.7515625,0.9156397150072196,0.5718897150072196,0.55,0.0,0.45,0.0625,0.0,0.0,0.5421875,77,0.6313776348168753,1.5158196188062463,3.8310531278823006,5.190321207296876,0.98671875,0.0,1.901386053950887,3.6989728374525868,5.077624437365817,1.9501044530633025,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9,0.2167035648852378,0.0125,0.0,0,0.0,0,50.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.63125,0.48125,6.025,0.753125,0.2328125,0.0,0.0,0.1,1.6516111279595278,156.13323754613077,1.0196329212047757,0.6633829212047757,0.8151915238943391,0.8151915238943391,0.525,0.0,0.475,0.0,12.168022602511774,39.718142473661274,54.56661345692608,0.54375,0.13197550092407542,0.49297476347914704,2.95584773423354,0.1266161813361954,1.5006536188050767,0.13197550092407542,1.0,7.9,156.13323754613077,,,
unmodelled_offset,13005,1.29467958281748,0.0,flocking_topology_resilient,13005,2.2808674950142147,0.6818493947211347,0.7375,0.9685369885119268,0.6247869885119268,0.55,0.0,0.45,0.0625,0.0,0.0,0.5234375,78,0.6811704680910867,1.7526681728181692,4.514618980691798,8.539476684161782,0.96953125,0.0,2.0654535122618145,3.6866403259091554,5.055160081487133,1.9938404445178104,8.0,1.0,0.0,0.0,0.0,1.00625,7.975,0.996875,7.81875,0.357353150144512,0.02265625,0.0,0,0.025,2,50.78125,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666685,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5875,0.5125,5.9375,0.73828125,0.2359375,0.0,0.0,0.09375,1.6281486831838585,172.26152029613735,0.9983207002654797,0.6467582002654796,0.8051025379499812,0.8051025379499812,0.53125,0.0,0.46875,0.0,11.984368348383354,37.3477763163847,62.145556888774934,0.55625,0.14595184117144916,0.4493165894797069,3.055090713592557,0.12500000000346045,1.5843915897012593,0.14595184117144916,1.0,7.88125,172.26152029613735,,,
unmodelled_offset,13006,1.2547435420565307,0.0,flocking_topology_resilient,13006,2.2413031936422083,0.6646773160243032,0.7375,0.9484089022626794,0.5993464022626794,0.54375,0.0,0.45625,0.06875,0.0,0.0,0.5296875,77,0.6719440734179509,1.7542978192764977,4.448226162432253,8.910843794577037,0.971875,0.0,2.10524509154322,3.696160430873486,5.0311812548565555,1.8952160182626023,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8375,0.264782617664512,0.0203125,0.0,0,0.0,0,50.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.58125,0.4875,5.96875,0.74609375,0.2328125,0.00625,0.00625,0.1625,1.6081668408762375,171.4823152518163,0.9917411230512118,0.6636161230512118,0.8115872562411247,0.8115872562411247,0.5625,0.0,0.4375,0.0,12.15081676390135,38.28180269677626,72.29105070032278,0.55625,0.12956082576529737,0.5282155356084786,2.998995697376291,0.12763587381904096,1.4593404027194268,0.12956082576529737,1.0,7.8375,171.4823152518163,,,
unmodelled_offset,13007,1.2680569579824805,0.0,flocking_topology_resilient,13007,2.30028766883803,0.6402711611383699,0.71953125,0.9474605967457244,0.5983980967457243,0.54375,0.0,0.45625,0.06875,0.05555555555555555,0.00625,0.5328125,79,0.6553795390307406,1.5694835634034177,3.941447118511591,7.412555443890677,0.9796875,0.0,1.9389210322058144,3.674652958678088,5.133077812551143,2.0522506175329895,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.9,0.5007873371136,0.0125,0.0,0,0.0,0,50.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.60625,0.55,5.98125,0.74765625,0.23828125,0.0,0.0,0.1,1.6514059745133998,189.3861161244903,0.9760296491280369,0.6385296491280369,0.7712675677829796,0.7712675677829796,0.55,0.0,0.45,0.0,10.81048219624721,34.01205395248059,45.809975600575775,0.55625,0.12318857724523827,0.45918452593413717,2.9450818414863575,0.1250000019633682,1.4309921597621351,0.12318857724523827,1.0,7.9,189.3861161244903,,,
unmodelled_offset,13008,1.272463624831289,0.0,flocking_topology_resilient,13008,2.30129717071353,0.6689389726225761,0.74296875,1.0126651312922974,0.6729776312922973,0.55625,0.0,0.44375,0.06875,0.3333333333333333,0.01875,0.5359375,78,1.0257920240074827,4.088585897790476,4.947882927792523,206.90573142081226,0.96171875,0.0,2.128156051327662,3.6951236198582245,5.100626198696561,1.9484570712730762,8.0,1.0,0.0,0.0,0.0,1.025,7.9,0.9875,7.725,0.3462799611136,0.034375,0.0,0,0.025,2,50.3875,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.55625,0.4875,6.01875,0.75234375,0.21171875,0.0,0.0,0.1125,1.616867410845413,143.3585449453755,0.9874122189981704,0.6452247189981705,0.7895259365083941,0.7895259365083941,0.54375,0.0,0.45625,0.0,11.397105231062866,36.25713376534935,61.463225675372726,0.56875,0.14058911111573866,0.500665220210409,3.0144404023851985,0.12661617854080082,1.5420309007763504,0.14058911111573866,1.0,7.7875,143.3585449453755,,,
unmodelled_offset,13009,1.2580860420130193,0.0,flocking_topology_resilient,13009,2.357906731935159,0.6567199074889486,0.740625,0.9368134193946606,0.5883759193946604,0.54375,0.0,0.45625,0.0625,0.0,0.0,0.525,79,0.6851946541391348,1.7686644192437946,5.784365186386676,9.949581928640667,0.95234375,0.0,2.006168634398814,3.6983478939227297,5.082165030409718,1.9220209039707634,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8625,0.23670406208,0.0171875,0.0,0,0.0,0,50.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.55625,0.49375,5.98125,0.74765625,0.23515625,0.01875,0.01875,0.13125,1.6373131436937178,155.8753595900268,0.9777743082853029,0.626211808285303,0.7791344623994322,0.7791344623994322,0.53125,0.0,0.46875,0.0,11.119690201143309,35.29152541883009,70.20726971166886,0.5625,0.13854897000969962,0.5289476502505244,2.9553174175043764,0.1266161785351049,1.5373098934160256,0.13854897000969962,1.0,7.8625,155.8753595900268,,,
unmodelled_offset,13010,1.3146298751235008,0.0,flocking_topology_resilient,13010,2.344460241778512,0.690938610451069,0.73359375,0.9600822152204174,0.6303947152204177,0.56875,0.0,0.43125,0.0625,0.18181818181818182,0.0125,0.5265625,78,0.6886114994191167,1.752557465131987,4.52562595718265,7.922903450678085,0.9495535714285716,0.0,1.9686339304508234,3.6916475646760376,5.130135788670884,1.9366743820658836,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8375,0.062848512,0.0203125,0.0,0,0.0,0,50.43125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.5375,0.4875,5.94375,0.74296875,0.23203125,0.0,0.0,0.1625,1.6292633199132134,138.70961249551647,0.9842361475233,0.6467361475233,0.7768397761259975,0.7768397761259975,0.55,0.0,0.45,0.0,10.900375804157415,34.44708286551451,42.45919704469816,0.5375,0.13603417864572706,0.4578996225206986,2.9572284263394133,0.1266161786300814,1.5090958699218129,0.13603417864572706,1.0,7.8375,138.70961249551647,,,
unmodelled_offset,13011,1.3032621250022203,0.0,flocking_topology_resilient,13011,2.233591472544945,0.6598671847797662,0.737890625,0.9304094752659076,0.5813469752659074,0.54375,0.0,0.45625,0.06875,0.0,0.0,0.5265625,77,0.6734748034094006,1.7087237998875182,4.676492017340919,8.919642113139922,0.9623883928571428,0.0,2.030545282285673,3.6785115219491247,5.0896873209493,1.9674892962196686,8.0,1.0,0.0,0.0,0.0,1.0125,7.95,0.99375,7.8125,0.09015999999999999,0.0234375,0.0,0,0.025,2,50.6875,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333315,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.525,0.4875,5.9875,0.746484375,0.226171875,0.0,0.0,0.075,1.6211431867459978,177.65487683742214,0.9830659005484655,0.6361909005484656,0.7863637290025948,0.7863637290025948,0.5375,0.0,0.4625,0.0,11.124947633355903,37.16606340456616,43.07627897856871,0.55,0.1613400317325926,0.5009245211107299,3.044398218782985,0.12601969530569856,1.675019371126502,0.1613400317325926,1.0,7.875,177.65487683742214,,,
unmodelled_offset,13012,1.2730169158894569,0.0,flocking_topology_resilient,13012,2.333786960644646,0.6901982517738469,0.71796875,0.9743285052399576,0.6405785052399577,0.5625,0.0,0.4375,0.05625,0.014285714285714285,0.00625,0.5140625,140,0.6815896511234655,1.7217709231044018,4.6351962173787955,7.089860606321108,0.9760416666666666,0.0,2.027212058166195,3.6741258883560697,5.058168711125097,2.047765649578392,8.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.8125,0.660382536274384,0.0234375,0.0,0,0.0,0,50.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,2.04375,0.875,5.95625,0.74453125,0.2296875,0.075,0.075,0.15625,1.6438923309144304,217.38646688108267,1.0170427799798212,0.6795427799798212,0.8392304918268495,0.8392304918268495,0.55,0.0,0.45,0.0,12.872093772903577,41.40965323569881,50.57246689937289,0.54375,0.1412709040295433,0.4147043082658469,2.997052102921964,0.12499999999999996,1.5445849257637914,0.1412709040295433,1.0,7.8125,217.38646688108267,,,
