run_id,scenario,arm,seed,position_rmse,mean_nees,coverage95,decision_loss,wrong_action_rate,integrated_loss,alert_rate,false_alert_rate,recovery_steps,movement,delivery_ratio,planner_messages,planner_bytes,maximum_allowed_planner_messages,ownership_violations,safety_interventions,emergency_stops,collisions,mean_runtime_units,topology_disagreement_rate,replay_fingerprint
m13-stable-m10a5_centralized-27120,stable,m10a5_centralized,27120,0.04956699118570787,2.320948051887655,0.9166666666666666,0.04424767068396942,0.0,0.2163112238335035,1.0,0.0,0.0,11.470903543302272,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,bc68ee9c032fdd6a78acf3bb018b7d37d2e786ba6c45d64e3a9539c9944d8dad
m13-stable-m10b_decentralized_no_negotiation-27120,stable,m10b_decentralized_no_negotiation,27120,0.02932930719777751,0.8280908771617749,1.0,0.02632968022596173,0.0,0.3310182318271443,1.0,0.0,0.0,20.312570106745508,0.9924242424242424,192,165312,192,0,0,0,0,1.384,0.0,10b0f0f5ee5c018854df510359adb982f81e60a6d56665fcf261ee317066ea78
m13-stable-m10b_decentralized-27120,stable,m10b_decentralized,27120,0.03564898292949081,0.8687372075752339,1.0,0.030626447475606364,0.0,0.20297936340350609,1.0,0.0,0.0,11.490194395193315,0.9924242424242424,192,162760,192,0,0,0,0,1.384,0.0,a2521c177a1a12dfc7faf9e7c6779a71be79867451d3dbb350b38ff373c2069f
m13-stable-m9c_no_trust-27121,stable,m9c_no_trust,27121,0.04923255440882225,1.9708625020743171,0.975,0.04366594694135893,0.0,0.21537592650689424,1.0,0.0,0.0,11.447331971035688,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,30ad482b9a85fafe8f5b91d2b9392caf3500dc2060e5f8bee5bc91291cb5a474
m13-stable-m10a5_centralized-27121,stable,m10a5_centralized,27121,0.04923255440882225,1.9708625020743171,0.975,0.04366594694135893,0.0,0.21537592650689424,1.0,0.0,0.0,11.447331971035688,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,b710752588a785d63fe53986154a7ac5efb2fc7427416c6c5c1284390ea1e5a3
m13-stable-m10b_decentralized_no_negotiation-27121,stable,m10b_decentralized_no_negotiation,27121,0.02971672341981952,0.6565742178556809,1.0,0.02536383249547879,0.0,0.32993112875628117,1.0,0.0,0.0,20.304486417386826,0.9924242424242424,192,165370,192,0,0,0,0,1.384,0.0,5bb23e5611099e0ea89e96eeee22f182c261643a608ee30213bafb6bb837e432
m13-stable-m10b_decentralized-27121,stable,m10b_decentralized,27121,0.03681696874180429,0.8355332455986115,1.0,0.03272507366492832,0.0,0.20453628112647299,1.0,0.0,0.0,11.45408049743631,0.9924242424242424,192,162766,192,0,0,0,0,1.384,0.0,6e7d3ba7aacd4c43e022d421f1f766ff34f7d4a6d1076159a1daab1d97c96a3c
m13-stable-m9c_no_trust-27122,stable,m9c_no_trust,27122,0.042955958619809095,1.5584698284908252,0.9583333333333334,0.03538128306073819,0.0,0.20729494751947836,1.0,0.0,0.0,11.460910963916012,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,dc6e845af77a70058b55e2c799e35a7489c61597d2ab3e527bdba962493fc9de
m13-stable-m10a5_centralized-27122,stable,m10a5_centralized,27122,0.042955958619809095,1.5584698284908252,0.9583333333333334,0.03538128306073819,0.0,0.20729494751947836,1.0,0.0,0.0,11.460910963916012,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,1e613a47d1b3cc40f90cd18d5ea9e57f87ff036c953342788d36154a9afb114a
m13-stable-m10b_decentralized_no_negotiation-27122,stable,m10b_decentralized_no_negotiation,27122,0.031458024370165164,0.7342198286497127,1.0,0.027083841744554492,0.0,0.33183300888576234,1.0,0.0,0.0,20.316611142747192,0.9924242424242424,192,165482,192,0,0,0,0,1.384,0.0,aa4707c911c28a5a5d085bbda57ff748a29687f65504fdefee72d809d239d314
