scenario,arm,trials,position_rmse_mean,decision_loss_mean,integrated_loss_mean,mean_nees,coverage95,wrong_action_rate,alert_rate,false_alert_rate,recovery_steps,delivery_ratio
legitimate_precision_minority,m9c_no_trust,150,0.019217670683878654,0.016108175394820894,0.18799969448502898,1.6872994729257578,0.9707777777777776,0.0,1.0,0.0,0.0,0.9916666666666667
legitimate_precision_minority,m10a5_centralized,150,0.019217670683878654,0.016108175394820894,0.18799969448502898,1.6872994729257578,0.9707777777777776,0.0,1.0,0.0,0.0,0.9916666666666667
legitimate_precision_minority,m10b_decentralized_no_negotiation,150,0.02321850433960443,0.019626117368647965,0.3242805333764214,0.5676470886551469,0.9998333333333332,0.0,1.0,0.0,0.0,0.9924242424242427
legitimate_precision_minority,m10b_decentralized,150,0.02827976472716422,0.024789280315390617,0.1967566859573611,0.6509555382786818,0.9997777777777778,0.0,1.0,0.0,0.0,0.9924242424242427
colluding_covariance_ramp,m9c_no_trust,150,0.1237734633032192,0.10762163566645394,0.2820912183356528,18.193026740239972,0.2735,0.0,0.0,0.0,0.0,0.9916666666666667
colluding_covariance_ramp,m10a5_centralized,150,0.05518916866737302,0.04596883816541902,0.23239378424516285,2.6136784971077516,0.8991666666666667,0.0,0.8112000000000003,0.0,0.0,0.9916666666666667
colluding_covariance_ramp,m10b_decentralized_no_negotiation,150,0.045786222206002695,0.03866732276296,0.3273856682676534,1.7339046533409346,0.9307222222222221,0.0,0.6821333333333333,0.5592222222222221,0.0,0.9924242424242427
colluding_covariance_ramp,m10b_decentralized,150,0.06360741253080308,0.053989032649457855,0.23922658309634065,2.5984966828893516,0.8536666666666666,0.0,0.6756666666666666,0.5594444444444444,0.0,0.9924242424242427
temporary_attack_recovery,m9c_no_trust,150,0.07348233233615696,0.06175064093171696,0.23487112339493782,5.2308554289738005,0.6926111111111112,0.0,0.0,0.0,0.0,0.9916666666666667
temporary_attack_recovery,m10a5_centralized,150,0.04703009052192337,0.04012406309958165,0.22529498903410342,2.0104059201770412,0.9458888888888889,0.0,0.6835632183908045,0.0,0.0,0.9916666666666667
temporary_attack_recovery,m10b_decentralized_no_negotiation,150,0.032078437534130734,0.0269578889367011,0.32565794111786506,0.7719667853732949,0.9990555555555557,0.0,0.6644827586206897,0.0,0.0,0.9924242424242427
temporary_attack_recovery,m10b_decentralized,150,0.03863676251233463,0.03361439843976361,0.21699570124734624,0.9267692464940617,0.9975,0.0,0.662528735632184,0.0,0.0,0.9924242424242427
adaptive_bounded_attacker,m9c_no_trust,150,0.07289636945978391,0.0639953316562826,0.23744641421459486,5.201437230182739,0.6682222222222223,0.0,0.0,0.0,0.0,0.9916666666666667
adaptive_bounded_attacker,m10a5_centralized,150,0.0716137362938213,0.05371929317508259,0.2409943817502505,4.241976188426464,0.841388888888889,0.0,0.8216666666666667,0.0,0.0,0.9916666666666667
adaptive_bounded_attacker,m10b_decentralized_no_negotiation,150,0.047628742700879405,0.037711448344604256,0.3141955217855321,1.9475566790463623,0.9204444444444444,0.0,0.8102000000000001,0.0,0.0,0.9924242424242427
adaptive_bounded_attacker,m10b_decentralized,150,0.06465740630254624,0.04722606672277465,0.23282389482232915,2.6873681175148816,0.8936111111111112,0.0,0.8092666666666668,0.0,0.0,0.9924242424242427
