algorithm,seed,frozen_m9a_loss,frozen_m9a_base_error,m9a_hypothesis_floor_loss,observer_loss,observer_base_error,observer_selection_rate,observer_mixture_rate,observer_defer_rate,observer_wrong_mode_action_rate,observer_mean_mode_count,observer_mean_credible_mode_count,observer_mean_top_mode_probability,observer_mean_confidence,observer_mean_predicted_risk,observer_mean_assignment_entropy,observer_mean_visible_agents,global_loss,global_base_error,global_selection_rate,global_mixture_rate,global_defer_rate,global_wrong_mode_action_rate,global_mean_mode_count,global_mean_credible_mode_count,global_mean_top_mode_probability,global_mean_confidence,global_mean_predicted_risk,global_mean_assignment_entropy,global_mean_visible_agents,current_to_observer_gap,observer_to_global_gap,current_to_global_gap,current_to_hypothesis_floor_gap,runtime_seconds,scenario
flocking_topology_resilient,12020,0.9860017813346026,0.6410017813346026,0.6168817693920046,0.26969600106801933,0.26969600106801933,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3307766542718281,0.12499999999999996,8.0,0.26969600106801933,0.26969600106801933,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3307766542718281,0.12499999999999996,8.0,0.7163057802665833,0.0,0.7163057802665833,0.369120011942598,12.602670958032832,stable_control
flocking_topology_resilient,12021,0.9580257727374883,0.6042757727374883,0.5543666698472849,0.2888257644877802,0.2888257644877802,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33368032799249175,0.12499999999999996,8.0,0.2888257644877802,0.2888257644877802,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33368032799249175,0.12499999999999996,8.0,0.6692000082497082,0.0,0.6692000082497082,0.40365910289020346,12.849885459057987,stable_control
flocking_topology_resilient,12022,0.9720836107714799,0.6377086107714801,0.6273515448323331,0.2774021239775192,0.2774021239775192,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32912271643365537,0.12499999999999996,8.0,0.2774021239775192,0.2774021239775192,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32912271643365537,0.12499999999999996,8.0,0.6946814867939607,0.0,0.6946814867939607,0.34473206593914674,12.736067375168204,stable_control
flocking_topology_resilient,12023,0.893400256377644,0.553712756377644,0.5529285659413116,0.2789826604488142,0.2789826604488142,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3324419262542428,0.12499999999999996,7.95,0.27481499208677435,0.27481499208677435,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3306788328949809,0.12499999999999996,8.0,0.6144175959288298,0.004167668362039856,0.6185852642908696,0.3404716904363324,12.952148917131126,stable_control
flocking_topology_resilient,12024,0.9305658240758288,0.5915033240758286,0.5914769543183923,0.26833626892118245,0.26833626892118245,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3304378706000096,0.12499999999999996,8.0,0.26833626892118245,0.26833626892118245,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3304378706000096,0.12499999999999996,8.0,0.6622295551546463,0.0,0.6622295551546463,0.33908886975743646,12.501337167108431,stable_control
flocking_topology_resilient,12025,0.9344933524701785,0.5907433524701785,0.5809975026952682,0.2797621806875946,0.2797621806875946,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33018922246625315,0.12499999999999996,8.0,0.2797621806875946,0.2797621806875946,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33018922246625315,0.12499999999999996,8.0,0.6547311717825839,0.0,0.6547311717825839,0.35349584977491033,12.462414582958445,stable_control
flocking_topology_resilient,12026,0.9640596133837663,0.6296846133837664,0.6036168665213204,0.27712197650226655,0.27712197650226655,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32913384177748045,0.12499999999999996,8.0,0.27712197650226655,0.27712197650226655,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32913384177748045,0.12499999999999996,8.0,0.6869376368814998,0.0,0.6869376368814998,0.36044274686244593,12.680089875124395,stable_control
flocking_topology_resilient,12027,0.9514008392352054,0.6023383392352052,0.597384023722437,0.27292318250508263,0.27292318250508263,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3316493768362815,0.12500000000000036,7.95,0.27342992299136465,0.27342992299136465,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3300552739587646,0.12500000000000036,8.0,0.6784776567301227,-0.0005067404862820202,0.6779709162438408,0.3540168155127683,12.69744358304888,stable_control
flocking_topology_resilient,12028,0.91136057075431,0.5769855707543099,0.5769855707543099,0.28671391799603196,0.28671391799603196,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3306324863373254,0.12500000000000014,7.95,0.28622569055607816,0.28622569055607816,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3297411115873124,0.12500000000000014,8.0,0.624646652758278,0.00048822743995380335,0.6251348801982318,0.3343750000000001,12.692362583009526,stable_control
flocking_topology_resilient,12029,0.9576833185510921,0.6033083185510919,0.5964654091070098,0.28109478811449584,0.28109478811449584,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32929365522031845,0.12499999999999996,8.0,0.28109478811449584,0.28109478811449584,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32929365522031845,0.12499999999999996,8.0,0.6765885304365963,0.0,0.6765885304365963,0.3612179094440823,12.783196750096977,stable_control
flocking_topology_resilient,12030,0.8752851215570576,0.5409101215570575,0.5402510468354101,0.2523761359791449,0.2523761359791449,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3288757640997443,0.12499999999999996,8.0,0.2523761359791449,0.2523761359791449,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3288757640997443,0.12499999999999996,8.0,0.6229089855779127,0.0,0.6229089855779127,0.3350340747216475,12.830358375096694,stable_control
flocking_topology_resilient,12031,0.8804475802376919,0.540135080237692,0.5313829770817892,0.2754203499441298,0.2754203499441298,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3282251593077702,0.12499999999999996,8.0,0.2754203499441298,0.2754203499441298,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3282251593077702,0.12499999999999996,8.0,0.6050272302935621,0.0,0.6050272302935621,0.3490646031559027,12.798421791987494,stable_control
flocking_topology_resilient,12032,0.9100615625032138,0.5663115625032136,0.5340662225713996,0.25467165202346137,0.25467165202346137,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32914328061008885,0.12499999999999996,8.0,0.25467165202346137,0.25467165202346137,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32914328061008885,0.12499999999999996,8.0,0.6553899104797525,0.0,0.6553899104797525,0.3759953399318142,12.53872433421202,stable_control
flocking_topology_resilient,12033,0.9719094294177018,0.6315969294177017,0.5713426919654283,0.28133862001228954,0.28133862001228954,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32912172642687476,0.12499999999999996,8.0,0.28133862001228954,0.28133862001228954,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.32912172642687476,0.12499999999999996,8.0,0.6905708094054122,0.0,0.6905708094054122,0.40056673745227345,12.37017700006254,stable_control
flocking_topology_resilient,12034,0.9672238787929404,0.6234738787929404,0.5659110609124952,0.26533841743190545,0.26533841743190545,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3310530894638259,0.12499999999999996,8.0,0.26533841743190545,0.26533841743190545,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3310530894638259,0.12499999999999996,8.0,0.7018854613610349,0.0,0.7018854613610349,0.40131281788044515,12.607935874955729,stable_control
flocking_topology_resilient,12035,1.01307183020349,0.6786968302034899,0.5936187690513299,0.2659430732751183,0.2659430732751183,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33238521275692434,0.12499999999999996,7.95,0.2635427942805929,0.2635427942805929,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33068447105882415,0.12499999999999996,8.0,0.7471287569283718,0.0024002789945253844,0.7495290359228971,0.4194530611521601,12.832255250075832,stable_control
flocking_topology_resilient,12036,0.9849821648870718,0.6365446648870717,0.625625030785524,0.26304886961854945,0.26304886961854945,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.330199554170073,0.12499999999999996,8.0,0.26304886961854945,0.26304886961854945,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.330199554170073,0.12499999999999996,8.0,0.7219332952685223,0.0,0.7219332952685223,0.3593571341015478,12.521128166932613,stable_control
flocking_topology_resilient,12037,0.9900328834620566,0.6556578834620564,0.5701012289018431,0.27353693567137044,0.27353693567137044,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3321751852245843,0.12499999999999996,7.95,0.27216235193777105,0.27216235193777105,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3303710635423217,0.12499999999999996,8.0,0.7164959477906863,0.0013745837335993882,0.7178705315242856,0.41993165456021353,12.801095083821565,stable_control
