scenario,policy,runs,resolved_mean,resolved_std,resolution_steps_mean,resolution_steps_std,wrong_selection_mean,wrong_selection_std,total_decision_loss_mean,total_decision_loss_std,decision_cost_mean,decision_cost_std,movement_cost_mean,movement_cost_std,movement_distance_mean,movement_distance_std,final_truth_probability_mean,final_truth_probability_std,final_entropy_mean,final_entropy_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,hold_actions_mean,hold_actions_std,spread_actions_mean,spread_actions_std,probe_actions_mean,probe_actions_std,unique_probe_actions_mean,unique_probe_actions_std,planning_sequences_evaluated_mean,planning_sequences_evaluated_std,runtime_seconds_mean,runtime_seconds_std,hold_actions_fraction,spread_actions_fraction,probe_actions_fraction
asymmetric_transit,receding_horizon_voi,10,1.0,0.0,2.7,0.7810249675906654,0.0,0.0,1.419076301298514,0.3374839973226646,0.425,0.19525624189766638,0.9940763012985141,0.14280880821276581,1.054329999514247,0.19322583878178548,0.9986425865044763,0.0019433451971616073,0.009285342347528158,0.012977584936103244,1.008110277243277e-05,1.5695635924402988e-05,0.001360231345731878,0.0019477573982218477,0.8592874081568425,0.08969951080718132,1.0,0.6324555320336759,1.0,0.0,0.7,0.45825756949558394,0.7,0.45825756949558394,67.5,19.525624189766635,0.008074620808474719,0.002611582990166082,0.37037037037037035,0.37037037037037035,0.25925925925925924
asymmetric_transit,computational_oracle,10,1.0,0.0,2.7,0.7810249675906654,0.0,0.0,1.419076301298514,0.3374839973226646,0.425,0.19525624189766638,0.9940763012985141,0.14280880821276581,1.054329999514247,0.19322583878178548,0.9986425865044763,0.0019433451971616073,0.009285342347528158,0.012977584936103244,1.008110277243277e-05,1.5695635924402988e-05,0.001360231345731878,0.0019477573982218477,0.8592874081568425,0.08969951080718132,1.0,0.6324555320336759,1.0,0.0,0.7,0.45825756949558394,0.7,0.45825756949558394,337.5,97.62812094883319,0.050525895808823405,0.014532062202744727,0.37037037037037035,0.37037037037037035,0.25925925925925924
four_mode_cross,passive,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.3862943611198906,0.0,0.75,0.0,1.3862943611198906,0.0,0.25,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019860831089317798,1.9086193022910433e-05,1.0,0.0,0.0
four_mode_cross,round_robin,10,1.0,0.0,2.1,0.3,0.0,0.0,1.8773909887999998,0.4405217664000001,0.275,0.075,1.6023909888000003,0.3655217664000001,1.48369536,0.3384460800000001,0.9991527247423171,0.0018528410818085947,0.005595775523131346,0.011320854977304591,8.284041049406347e-06,2.3103613383747832e-05,0.0008493589172018142,0.001858533184051741,0.8029240299155423,0.0686011228368103,0.0,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.927921298891306e-05,8.156763865884724e-06,0.0,1.0,0.0
four_mode_cross,myopic_voi,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.3862943611198906,0.0,0.75,0.0,1.3862943611198906,0.0,0.25,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.004658408416435123,3.21574120103985e-05,1.0,0.0,0.0
four_mode_cross,receding_horizon_voi,10,1.0,0.0,2.6,0.9165151389911679,0.0,0.0,1.406613446137903,0.37117856382989733,0.4,0.22912878474779197,1.0066134461379028,0.14906473476509025,1.081866807672379,0.18633091845636277,0.9979136741058516,0.0035240538151951233,0.01309549574444498,0.021280379881343067,3.0048500255607637e-05,6.096518002054761e-05,0.002094761638531248,0.0035402797487715247,0.8172620333043781,0.06969107178873729,0.8,0.9797958971132713,1.0,0.0,0.8,0.4,0.8,0.4,93.6,32.99454500368205,0.012379808467812836,0.004324238303686638,0.3076923076923077,0.38461538461538464,0.3076923076923077
four_mode_cross,computational_oracle,10,1.0,0.0,2.8,0.8717797887081347,0.0,0.0,1.4763070465613277,0.3585320826183572,0.45,0.21794494717703367,1.0263070465613278,0.14888425018643903,1.1064838082016597,0.18610531273304878,0.9997100513463121,0.0007479529239495681,0.0021515634429624298,0.005250612235780272,1.2743363192475e-06,3.769390290394692e-06,0.00029027094030239684,0.0007489001263302359,0.82929286676874,0.07026222793586101,1.3,0.9,1.0,0.0,0.5,0.5,0.5,0.5,604.8,188.3044343609571,0.1178600165527314,0.03614278375009236,0.4642857142857143,0.35714285714285715,0.17857142857142858
four_mode_skewed_cost,passive,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.30700000000000005,0.12033702672078957,1.245035411560402,2.220446049250313e-16,0.7038,0.2406740534415791,1.2892815207149533,0.5074628629683251,0.42000000000000004,1.5700924586837752e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001997877610847354,2.6980921572842164e-05,1.0,0.0,0.0
four_mode_skewed_cost,round_robin,10,1.0,0.0,2.3,0.45825756949558405,0.0,0.0,2.4445643392000003,0.7556257015484757,0.325,0.11456439237389598,2.1195643392000005,0.6410613091745797,1.7093260800000003,0.5169849267536933,0.9985538438764573,0.002495186877091183,0.009330813320608481,0.015168225663152448,1.6217209529171964e-05,3.3314944047109725e-05,0.001450332972220591,0.002503693091704582,0.8290392996586968,0.07378676244753851,0.0,0.0,2.3,0.45825756949558405,0.0,0.0,0.0,0.0,0.0,0.0,9.850827045738697e-05,1.5081008208597249e-05,0.0,1.0,0.0
four_mode_skewed_cost,myopic_voi,10,0.0,0.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.30700000000000005,0.12033702672078957,1.245035411560402,2.220446049250313e-16,0.7038,0.2406740534415791,1.2892815207149533,0.5074628629683251,0.42000000000000004,1.5700924586837752e-16,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.004743454232811928,6.257634132156984e-05,1.0,0.0,0.0
four_mode_skewed_cost,receding_horizon_voi,10,1.0,0.0,3.1,0.7,0.0,0.0,1.661241193599971,0.32661825586337,0.525,0.175,1.136241193599971,0.1520274348705464,1.3794281763487355,0.23133472618232775,0.9989492759827746,0.001812798079728633,0.007710683641553241,0.012178971421801658,6.8220833181927255e-06,1.7358521715803065e-05,0.0010529274996690595,0.0018184299812868386,0.8222702821067278,0.08129954338552844,0.2,0.4000000000000001,1.0,0.0,1.9,0.5385164807134505,1.3,0.45825756949558394,111.6,25.200000000000003,0.015085212513804435,0.0033876572138136275,0.06451612903225806,0.3225806451612903,0.6129032258064516
four_mode_skewed_cost,computational_oracle,10,1.0,0.0,3.1,0.7,0.0,0.0,1.661241193599971,0.32661825586337,0.525,0.175,1.136241193599971,0.1520274348705464,1.3794281763487355,0.23133472618232775,0.9989492759827746,0.001812798079728633,0.007710683641553241,0.012178971421801658,6.8220833181927255e-06,1.7358521715803065e-05,0.0010529274996690595,0.0018184299812868386,0.8222702821067278,0.08129954338552844,0.2,0.4000000000000001,1.0,0.0,1.9,0.5385164807134505,1.3,0.45825756949558394,669.6,151.2,0.1263300001854077,0.029653619165896036,0.06451612903225806,0.3225806451612903,0.6129032258064516
