scenario,seed,runtime_seconds,motion_distance_difference,baseline_decision_loss,baseline_mean_base_error,baseline_position_rmse,baseline_best_hypothesis_rmse,baseline_selection_rate,baseline_mixture_rate,baseline_abstention_rate,baseline_wrong_mode_action_rate,baseline_mean_nees,baseline_p95_nees,baseline_max_nees,baseline_coverage95_rate,baseline_mean_residual_mass,baseline_max_residual_mass,baseline_mean_model_nis,baseline_mean_assignment_entropy,baseline_mean_predicted_risk,baseline_mean_predicted_wrong_risk,baseline_mean_credible_modes,baseline_mean_visible_agents,baseline_movement_distance,baseline_mean_quarantined_agents,baseline_quarantine_rate,candidate_decision_loss,candidate_mean_base_error,candidate_position_rmse,candidate_best_hypothesis_rmse,candidate_selection_rate,candidate_mixture_rate,candidate_abstention_rate,candidate_wrong_mode_action_rate,candidate_mean_nees,candidate_p95_nees,candidate_coverage95_rate,candidate_mean_residual_mass,candidate_max_residual_mass,candidate_mean_model_residual_mass,candidate_mean_admission_residual_mass,candidate_mean_model_nis,candidate_mean_assignment_entropy,candidate_mean_measurement_eligible_agents,candidate_mean_belief_admitted_agents,candidate_mean_belief_censored_measurement_agents,candidate_belief_censoring_rate,candidate_mean_robust_excluded_measurement_agents,candidate_mean_unreachable_measurement_agents,candidate_mean_covariance_floored_agents,candidate_mean_model_rejected_measurement_agents,candidate_covariance_floor_rate,candidate_mean_excluded_secondary_probability,candidate_mean_unreachable_secondary_probability,candidate_mean_quarantined_agents,candidate_quarantine_rate,candidate_movement_distance,observer_loss,global_loss,hindsight_floor_loss
staggered_rejoin,15900,1.1341377079952508,0.0,0.31028643996759075,0.31028643996759075,0.34896057200130365,0.34896057200130365,1.0,0.0,0.0,0.0,1.6608009718800691,5.009651632436794,6.6395046632056545,0.98125,0.013670168960735765,0.062137261033097246,1.9257561294528596,0.12661618424699628,0.4671974418166771,0.013670168960735765,1.0,5.8875,159.60180178799524,0.38125,0.2875,0.30294250578113396,0.30294250578113396,0.34147179842228026,0.34147179842228026,1.0,0.0,0.0,0.0,1.6261605556610619,4.704838421567999,0.98125,0.013194809371650093,0.05249360460827002,0.013194809371650091,0.0,1.9677427385145112,0.12499999999999996,6.56875,5.8875,0.68125,0.4125,0.0,0.1,0.0,0.0,0.0,0.0,1.1221e-319,0.38125,0.2875,159.60180178799524,0.30294250578113396,0.2990350176131844,0.5515777259287832
staggered_rejoin,15901,1.1072371250484139,0.0,0.29708166643104994,0.29708166643104994,0.33688240199616104,0.33688240199616104,1.0,0.0,0.0,0.0,1.5296268823853045,4.3092149090108,9.032316055972078,0.98125,0.012905779352482442,0.047826339054574674,1.8806684707388897,0.12499999999999996,0.4616628050600511,0.012905779352482442,1.0,5.66875,163.39901283924598,0.6625,0.26875,0.294893095990982,0.294893095990982,0.33291139087908617,0.33291139087908617,1.0,0.0,0.0,0.0,1.5843403712968782,4.603578742352178,0.975,0.01339078042833482,0.051690826025556524,0.01339078042833482,0.0,1.94824534457361,0.12499999999999996,6.64375,5.66875,0.975,0.425,0.0,0.025,0.0,0.0,0.0,0.0,0.00625,0.6625,0.26875,163.39901283924598,0.294893095990982,0.29438857355008735,0.5233819110480191
flapping_reconnect,15900,1.326161792036146,0.0,0.3244072810198013,0.3244072810198013,0.3713045855718313,0.3713045855718313,1.0,0.0,0.0,0.0,1.767622744656343,4.6473914148033355,6.683206868366727,0.98125,0.012344399483230207,0.062137261033097246,1.8605243519521941,0.12661618424699628,0.45723065456582657,0.012344399483230207,1.0,6.7375,165.3854072200184,0.00625,0.00625,0.31481178021265344,0.31481178021265344,0.36376010456663943,0.36376010456663943,1.0,0.0,0.0,0.0,1.7008846601652432,4.844969620001252,0.98125,0.01148838565765192,0.03474481932381279,0.01148838565765192,0.0,1.886962360454343,0.12499999999999996,6.88125,6.7375,0.14375,0.125,0.0,1.11875,0.0,0.0,0.0,0.0,0.1875,0.00625,0.00625,165.3854072200184,0.31481178021265344,0.27302151293574833,0.5818325071818558
flapping_reconnect,15901,1.3581455000676215,0.0,0.29649645316502066,0.29649645316502066,0.3470510153342396,0.3470510153342396,1.0,0.0,0.0,0.0,1.6564146953230598,4.959138625592024,9.032316055972078,0.96875,0.011795929513519368,0.03480302841804517,1.8658682893483394,0.12499999999999996,0.44574252325132013,0.011795929513519368,1.0,6.8375,169.7519407987343,0.0,0.0,0.29631971447218053,0.29631971447218053,0.34550453663102465,0.34550453663102465,1.0,0.0,0.0,0.0,1.6562906803477624,4.956561926324449,0.975,0.011817486428495094,0.03514860119814878,0.011817486428495096,0.0,1.8883406243824048,0.12499999999999996,6.95,6.8375,0.1125,0.075,0.0,1.05,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,169.7519407987343,0.29631971447218053,0.25968356017876865,0.5941668942582481
false_split_dropout,15900,1.283250458072871,0.0,0.28608743900086736,0.28608743900086736,0.3210976448791533,0.3210976448791533,1.0,0.0,0.0,0.0,1.77039168164927,4.812696805529341,9.295196283054096,0.975,0.012602740682856365,0.0627152149486565,1.933287729206461,0.12661633788232426,0.41557120797957037,0.012602740682856365,1.0,7.58125,174.7173024193154,0.0,0.0,0.27846922597655255,0.27846922597655255,0.3143124973253404,0.3143124973253404,1.0,0.0,0.0,0.0,1.710499443311947,4.775347312607332,0.98125,0.011739642271321895,0.03509606565918322,0.011739642271321894,0.0,1.9595419762272712,0.12499999999999996,7.70625,7.58125,0.125,0.10625,0.0,0.29375,0.0,0.0,0.0,0.0,0.025,0.0,0.0,174.7173024193154,0.27846922597655255,0.2721120705522561,0.6007574836262861
false_split_dropout,15901,1.2938628341071308,0.0,0.27769689954488863,0.27769689954488863,0.31906811387201933,0.31906811387201933,1.0,0.0,0.0,0.0,1.7072663231743785,4.81620216427804,9.41661531634021,0.975,0.011629239408083802,0.03692503908355982,1.903387488565884,0.12499999999999996,0.4147430348765872,0.011629239408083802,1.0,7.5625,175.67334360635567,0.0,0.0,0.2732780941349129,0.2732780941349129,0.311681865504899,0.311681865504899,1.0,0.0,0.0,0.0,1.6754267655966841,4.8450184964649425,0.98125,0.011629239460375067,0.03692503908355982,0.011629239460375066,0.0,1.929117903766808,0.12499999999999996,7.65625,7.5625,0.09375,0.0625,0.0,0.34375,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,175.67334360635567,0.2732780941349129,0.25940872258270425,0.6092367431443054
admission_censoring_control,15900,0.9529289999045432,0.0,0.392992365419131,0.36486736541913106,0.4153491308676729,0.4153491308676729,0.9625,0.0,0.0375,0.0,1.6358824285494316,4.894688127281911,6.7186492476348105,0.98125,0.03147298311105138,0.12724549569036214,1.9434543124595103,0.12661618424699628,0.6652107048051412,0.03147298311105138,1.0,4.7125,164.92370596415634,0.125,0.0375,0.3588234133040371,0.33538591330403716,0.3844226166545638,0.3844226166545638,0.96875,0.0,0.03125,0.0,1.748777545986048,4.923347537249028,0.96875,0.02787996622264565,0.126747099269092,0.02787996622264565,0.0,2.0049478927256175,0.12499999999999996,6.08125,4.7125,1.36875,0.5375,0.0,1.35625,0.0,0.0,0.0,0.0,0.175,0.125,0.0375,164.92370596415634,0.33538591330403716,0.28413563886469945,0.6748723673157004
admission_censoring_control,15901,0.9472123750019819,0.0,0.40084485749817234,0.3961573574981723,0.48763868451554904,0.48763868451554904,0.99375,0.0,0.00625,0.0,1.7171793706702936,5.346216270553451,9.032316055972078,0.975,0.0172130841273555,0.10253638203745374,1.8216919503756768,0.12499999999999996,0.5851579571655423,0.0172130841273555,1.0,4.43125,171.01602440070212,0.01875,0.00625,0.3293378554908464,0.3293378554908464,0.38953873927798943,0.38953873927798943,1.0,0.0,0.0,0.0,1.679576842061305,5.023457442147155,0.98125,0.014533601956434768,0.0715389187846438,0.014533601956434767,0.0,1.8982339422862637,0.12499999999999996,6.0125,4.43125,1.58125,0.65625,0.0,1.425,0.0,0.0,0.0,0.0,0.1875,0.01875,0.00625,171.01602440070212,0.3293378554908464,0.2694700567633061,0.668928944203431
unmodelled_count,15900,1.0533120830077678,0.0,0.8944009069738043,0.5428384069738043,0.6422802626903843,0.6422802626903843,0.53125,0.0,0.46875,0.0,7.346931756536355,24.031849757789537,35.20576857212147,0.6125,0.39466008111721906,0.9998529219404697,5.062189309498949,0.1268241129323758,3.1191076535415716,0.39466008111721906,1.0,7.64375,168.7454608718328,0.00625,0.00625,0.8903815934450939,0.515381593445094,0.5980920517701125,0.5980920517701125,0.5,0.0,0.5,0.0,6.813134525799137,21.29571571404516,0.60625,0.42150432780886504,0.9996840026574219,0.42150432780886504,0.0,5.0721449511873775,0.1268896952148864,8.0,7.64375,0.35625,0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,168.7454608718328,,,
unmodelled_count,15901,1.0724830830004066,0.0,0.8674386305523963,0.49712613055239646,0.594658791272001,0.594658791272001,0.50625,0.0,0.49375,0.0,6.352605955371888,19.98468520131812,34.46283041815183,0.6375,0.40456533694203356,0.9996115276700321,5.050400661446168,0.12842927189201417,3.1977218351212207,0.40456533694203356,1.0,7.74375,170.09137184992179,0.0,0.0,0.8867836516898482,0.5117836516898482,0.6026523905447192,0.6026523905447192,0.5,0.0,0.5,0.0,6.753981679736809,20.136740922035496,0.6125,0.42081571741472334,0.9996082322721149,0.42081571741472323,0.0,5.10189541263685,0.13106264494890396,8.0,7.74375,0.25625,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.09137184992179,,,
unmodelled_offset,15900,1.1474841248709708,0.0,1.046774549354501,0.695212049354501,0.8725753426617585,0.8725753426617585,0.53125,0.0,0.46875,0.0,12.658876997013964,41.6466109294323,81.91448845292261,0.53125,0.12064721591657354,0.3913208926546293,2.95722166879505,0.1266161862383039,1.4305186233034473,0.12064721591657354,1.0,7.775,162.76531732992953,0.00625,0.00625,1.0456838400736177,0.6941213400736179,0.8779681671070247,0.8779681671070247,0.53125,0.0,0.46875,0.0,12.891728443537682,40.933913876494465,0.54375,0.1238312578626403,0.40053898628068674,0.1238312578626403,0.0,2.9756492131759744,0.12499999999999996,7.925,7.775,0.15,0.1125,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,162.76531732992953,,,
unmodelled_offset,15901,1.1327904579229653,0.0,0.9670855510288117,0.6295855510288118,0.7748884857505238,0.7748884857505238,0.55,0.0,0.45,0.0,10.933439905290566,34.73548247353988,62.43165778749399,0.55625,0.12295280438705698,0.5970008064080117,2.9909064838053667,0.12601969647214703,1.4288626277108663,0.12295280438705698,1.0,7.83125,164.9712339223051,0.0,0.0,0.9695373866396055,0.6320373866396055,0.7776827499820457,0.7776827499820457,0.55,0.0,0.45,0.0,11.086640181964675,33.808120081517195,0.55625,0.1238785979926866,0.5964241954493341,0.1238785979926866,0.0,3.0172354606817553,0.12499999999999996,7.95,7.83125,0.11875,0.06875,0.0,0.05,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,164.9712339223051,,,
raw_channel_colluding_ramp,15900,0.580847250064835,0.0,1.0893627410898123,0.8643627410898125,1.441742775652344,1.441742775652344,0.7,0.0,0.3,0.0,218.86433163249393,1897.3681215811732,3464.0175201334773,0.76875,0.22907777895191442,0.9993716363158514,6.77070750642284,0.12500000000000072,2.084259578334888,0.22907777895191442,1.0,4.3,162.97353303884594,1.075,0.55,3.475777299618268,2.800777299618268,3.1138885867437676,3.1138885867437676,0.1,0.0,0.9,0.0,393.70470555113195,710.3335219909603,0.16875,0.7844029256161148,0.9999999998715621,0.7844029256161148,0.0,17.896817428491207,0.125,7.4875,4.3,3.1875,0.76875,0.0,0.025,2.5,0.01875,0.8375,0.0,0.00625,1.075,0.55,162.97353303884594,,,
raw_channel_colluding_ramp,15901,0.5758369171526283,0.0,1.1453290908097649,0.9297040908097649,1.4706406703893369,1.4706406703893369,0.7125,0.0,0.2875,0.0,231.6402261301805,1772.715108980453,3227.273625462424,0.75,0.22050551587759468,0.9991007256138642,6.133711689002836,0.12500000000000006,2.0410808688047846,0.22050551587759468,1.0,4.225,171.31302848640124,1.10625,0.58125,3.577228116765211,2.8928531167652114,3.2132805120300145,3.2132805120300145,0.0875,0.0,0.9125,0.0,420.54078563779666,741.6583139147215,0.15,0.7792230682089737,0.9999999998715239,0.7792230682089737,0.0,18.29777987239873,0.12500000000000006,7.5125,4.225,3.2875,0.78125,0.0,0.0,2.5125,0.0375,0.8375,0.0,0.0,1.10625,0.58125,171.31302848640124,,,
