scenario,seed,arm,decision_loss,position_rmse,best_hypothesis_rmse,selection_rate,mixture_rate,abstention_rate,wrong_mode_action_rate,mean_nees,p95_nees,coverage95_rate,mean_residual_mass,cross_diagnostic_rate,strong_floor_rate,ramp_diagnostic_rate,influence_cap_rate,trust_alert_rate,mean_raw_trust,minimum_raw_trust,mean_raw_only_precision_fraction,mean_trust_residual_mass,strategic_alert_rate,nonstrategic_alert_rate,quarantine_rate,mean_sensor_speed,shadow_max_decision_loss_difference,shadow_action_difference_rate,runtime_seconds,trace_fingerprint
raw_channel_colluding_ramp,21065,ramp_rate,3.2710366108511018,2.9264070037323067,2.9264070037323067,0.1125,0.0,0.8875,0.0,321.801756334733,685.8990080929116,0.18125,0.7861220409814061,0.83125,0.78125,0.99375,0.0,0.35625,0.8849813951330046,0.2564218669854401,0.0,0.005494048547691594,0.2064676616915423,0.0,0.63125,1.036574298617058,0.0,0.0,17.922002957900986,fac29131618a9825f69751b3e5a0191e64f38ccad3f1ce1028c241dc284b6898
raw_channel_colluding_ramp,21066,ramp_rate,3.2071356114156004,2.861282867417472,2.861282867417472,0.125,0.0,0.875,0.0,312.1021585579291,677.034746355587,0.1625,0.7615283693388994,0.81875,0.7625,0.98125,0.0,0.3625,0.8941105892841706,0.14579928122361988,0.0,0.006402685925081804,0.19900497512437812,0.0,0.65625,1.0583813064842356,0.0,0.0,17.939518708037212,70df6f53fa9047a2c22314e50f5cefed2e42b938b21527ce48d0b7df315869b8
raw_channel_colluding_ramp,21067,ramp_rate,3.143919623295225,2.8240418063935984,2.8240418063935984,0.1375,0.0,0.8625,0.0,309.08463956268986,715.6525619035391,0.1875,0.7628442210171406,0.825,0.7125,1.0,0.0,0.35,0.8846614428235327,0.14569266612260656,0.0,0.007729809927203112,0.2263681592039801,0.0,0.55625,1.3142786796717687,0.0,0.0,18.406987499911338,247eb2d33e6731844a1bf4fee38f1628a23c97f740e7add75d45709ad6689103
raw_channel_colluding_ramp,21068,ramp_rate,3.2201272772199987,2.8611868980537247,2.8611868980537247,0.1125,0.0,0.8875,0.0,292.3151809641297,613.6898766877828,0.16875,0.7710014577966525,0.8375,0.8125,1.0,0.0,0.3875,0.8807999472384725,0.20293092132088708,0.0,0.005797094001463261,0.22388059701492538,0.0,0.6625,0.9130332833850586,0.0,0.0,17.881067374954,e35a5ce919cb8c04b731861adda17708d9be7ebf46d36adbd253e929159c1dac
raw_channel_colluding_ramp,21069,ramp_rate,3.2597947503761966,2.9201160322211663,2.9201160322211663,0.1125,0.0,0.8875,0.0,326.40136305100026,687.5795652775238,0.1625,0.7739707606233329,0.85,0.79375,0.99375,0.0,0.36875,0.8851494041862443,0.15583458636834752,0.0,0.0069264776843356345,0.21641791044776118,0.0,0.6,1.149260052579837,0.0,0.0,18.310154458042234,5de5d2816258ca93f1fbb2c6e3ac3d5dc6153c262ea422593febcfe588da2241
raw_channel_colluding_ramp,21070,ramp_rate,3.2283548663229253,2.859607164786332,2.859607164786332,0.09375,0.0,0.90625,0.0,296.7737172454854,661.6779661625754,0.15,0.7644979591779102,0.825,0.80625,0.99375,0.0,0.4,0.8813943903905603,0.14393240675181565,0.0,0.007912784469785456,0.22885572139303484,0.0,0.61875,0.8727907209671933,0.0,0.0,18.378779750084504,50f7823ae2ca3a37261eec640348d2a345522fae6e582dd9a4cc880e3d655938
raw_channel_colluding_ramp,21071,ramp_rate,3.246182360649878,2.9076464380596088,2.9076464380596088,0.10625,0.0,0.89375,0.0,322.5970974402754,716.8000609421866,0.1375,0.7730504051909979,0.8375,0.79375,1.0,0.0,0.3375,0.8914553606962915,0.119343869682142,0.0,0.006500104523074475,0.19799498746867167,0.0,0.68125,1.0298565187021076,0.0,0.0,18.25455283303745,fc900f8cbb6b3a8a31fbd5554b9830a3209edd54aa21764075a8b6596aa46844
raw_channel_colluding_ramp,21072,ramp_rate,3.3223440880153516,2.9503484374777726,2.9503484374777726,0.10625,0.0,0.89375,0.0,325.75207220984163,637.2295621050883,0.15,0.7807428632364326,0.84375,0.80625,1.0,0.0,0.325,0.8948002115734998,0.26002071487752193,0.0,0.00402429214906181,0.1517412935323383,0.0,0.60625,0.8897446637522819,0.0,0.0,18.413222791161388,3e8109db0d0741ed5db3828bde8f2944ed1c5235364a720acfc9d54df6e05656
raw_channel_colluding_ramp,21073,ramp_rate,3.2210347058570967,2.845223120722546,2.845223120722546,0.10625,0.0,0.89375,0.0,296.4300506224269,615.6957664065031,0.16875,0.7788593267534607,0.83125,0.79375,1.0,0.0,0.45625,0.8767542178385274,0.20439215140695477,0.0,0.007824007035080838,0.2512437810945274,0.0,0.55,1.0921976333319356,0.0,0.0,18.081283417064697,b95f2f2002b807139f8d975ba217d8492b423d991f6c99f1430e42c2f0267e44
raw_channel_colluding_ramp,21074,ramp_rate,3.273950789772819,2.9020541059616494,2.9020541059616494,0.10625,0.0,0.89375,0.0,316.0994611317421,660.5224446021758,0.15625,0.7925948037768025,0.8375,0.8,1.0,0.0,0.40625,0.8787292388733693,0.2218475844262989,0.0,0.006405296313640185,0.24378109452736318,0.0,0.55625,1.0950022165769173,0.0,0.0,18.35504037491046,9c3c47e196e787710da5ef01a64d6f63910d02061557bc97005e8a0891d5685b
