scenario,algorithm,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,recovery_steps_mean,recovery_steps_std,information_gain_mean,information_gain_std,nees_calibration_error_mean,nees_calibration_error_std,coverage_calibration_error_mean,coverage_calibration_error_std,estimate_disagreement_mean,estimate_disagreement_std,runtime_seconds_mean,runtime_seconds_std,bytes_sent_mean,bytes_sent_std,mean_nees_mean,mean_nees_std,coverage95_rate_mean,coverage95_rate_std,mean_nis_mean,mean_nis_std,spatial_diversity_mean,spatial_diversity_std,messages_mean,messages_std,mean_momentum_mean,mean_momentum_std
repeated_changes,flocking_fixed_momentum,100,0.6876479129754242,0.04403134582952659,0.7005328629516123,0.04045724079213685,0.74,0.7017121917139533,3.711094007048798,0.014362386767153542,0.20402104552653916,0.15179007971224162,0.01457812500000002,0.009927852530098086,0.38510903051133366,0.057796795605056836,0.9208478220738471,0.016289410670347438,737280.0,0.0,1.8452786178526626,0.20180710895111803,0.956984375,0.016195755315340343,1.876782114032621,0.11840996563212702,4.778150773523969,0.0336002784893806,3840.0,0.0,0.7199999999999999,0.0
repeated_changes,flocking_adaptive_momentum,100,0.6850142327931837,0.044976227688326334,0.6966826292892372,0.039001131649021775,0.77,0.7190966555338718,3.7229976084658305,0.009534780158093748,0.20046622394232266,0.1450413286952436,0.014476562500000014,0.010470181222128814,0.35280139804733357,0.02616060929699646,0.9141593400016427,0.010129021348826718,737280.0,0.0,1.856421247483278,0.20151634126570767,0.9551328125,0.017112854597654614,1.8775475324192354,0.13028215898264822,4.767902475551575,0.016103571793040623,3840.0,0.0,0.8370574644092327,0.010818380127778979
mixed_dropout,flocking_kf_no_momentum,100,0.7620076401488382,0.05134599730637154,0.7935014159013696,0.03961104929279301,1.85,1.5898113095584647,3.3774312511225326,0.06535745780856843,0.28500956159405333,0.12997187128955418,0.01767968750000003,0.009062267642495389,0.6422742459566085,0.033708484840102894,0.8201446808432229,0.014751966404739693,626651.52,4061.3056139128466,1.7150646873422257,0.13013456545883328,0.9669140624999999,0.010421637811206483,1.7696597659053506,0.0714449969193177,4.659268856005102,0.023243444296543236,3263.81,21.152633405796074,0.0,0.0
mixed_dropout,flocking_fixed_momentum,100,0.6716399897244071,0.03784045733448573,0.6950292696847772,0.028100856711579626,1.14,1.5557634781675522,3.7060283077482796,0.013947454018444449,0.2818969838113604,0.13466550437665128,0.01716406250000004,0.009544339756458747,0.4954505750964774,0.029047180503630858,0.8151090176426805,0.012667063193498716,626592.0,4278.4131637793,1.7201555853888357,0.1388805643777956,0.9667109375000001,0.010317171645452004,1.7461780044210298,0.07334924043782105,4.547349677695669,0.027292646984176046,3263.5,22.283401894683855,0.7199999999999999,0.0
mixed_dropout,flocking_adaptive_momentum,100,0.6801096055395148,0.03615865132605764,0.6940414680051973,0.02769256373381218,1.19,1.3761903938045783,3.73066167159411,0.009060234718668408,0.2522087051420291,0.12446722864023545,0.016992187500000037,0.010133613595935015,0.42744192258164787,0.02432856542997255,0.8120691495761275,0.012086754167821205,626524.8,4118.153838797186,1.7546459304993334,0.13748709951941537,0.9648671875000001,0.01305340171705134,1.7542212675079947,0.0759754625215184,4.555375471947026,0.02491735274799967,3263.15,21.448717910402014,0.8616387651213151,0.005001621467306513
communication_delay,flocking_kf_no_momentum,100,2.794809621911925,0.5071430951658079,3.1894735523798117,0.47541382602216825,21.19,13.477904139739236,3.3140222137441886,0.0890365097111503,23.22965054676611,4.819477828962027,0.6749453124999998,0.04471893766884974,1.2869524048215735,0.10342167199263921,0.9189963183202781,0.011657837703683999,737280.0,0.0,25.229650546766116,4.819477828962027,0.2750546875,0.04471893766884975,5.195691376975015,0.626827153567273,4.4880292814746445,0.21573092914278802,3840.0,0.0,0.0,0.0
communication_delay,flocking_fixed_momentum,100,2.4046499117043747,0.37583572231066137,2.9605385858041773,0.40030732717544765,16.38,8.987524687031465,3.621380572748572,0.04933495696411046,27.323323346268808,6.619025251832668,0.6936562500000001,0.043842992687686135,1.2481291135816328,0.12299674492301896,0.919691662916448,0.012368312494552277,737280.0,0.0,29.323323346268808,6.619025251832668,0.25634375000000004,0.043842992687686135,5.6558883781869,0.9123286714372252,4.138060995143382,0.3545880401171608,3840.0,0.0,0.7199999999999999,0.0
communication_delay,flocking_adaptive_momentum,100,2.5008595729374314,0.479218390803608,3.1021110811284065,0.4948502289958159,22.67,7.837161475942676,3.5169281708349693,0.09020552850279172,26.389510073508433,5.810169309269716,0.6761874999999999,0.047688063151982804,1.2991803429640993,0.17016828965791192,0.9411281125876121,0.02135068447983253,737280.0,0.0,28.389510073508433,5.810169309269716,0.2738125,0.047688063151982804,5.500146410995248,0.7976084811216223,4.3990746268089795,0.2754265802902941,3840.0,0.0,0.6051982477143772,0.038974203896994776
biased_agents,flocking_kf_no_momentum,100,2.2260781934467717,0.17982223164898803,1.9067586094773967,0.14596133927027513,0.16,0.41761226035642196,3.4034448110207647,0.0705298094558938,10.793622632338007,2.05854680186128,0.3852109374999999,0.0520064053625173,0.9985683192511918,0.05389250026961105,0.9246693983091973,0.011571765863076733,737280.0,0.0,12.793622632338003,2.05854680186128,0.5647890624999999,0.0520064053625173,3.5866724126985177,0.24775854149506535,5.006214698523435,0.02590758570586152,3840.0,0.0,0.0,0.0
biased_agents,flocking_fixed_momentum,100,1.2403191710370676,0.3105750432645463,1.262153441217989,0.3288716114281191,1.25,1.4168627315304754,3.6879207617737095,0.015082401675309186,4.178996424097446,3.6186819306943696,0.18341406249999997,0.13120673835942256,0.6901179345517299,0.1356806847397971,0.9397656187647954,0.013915514481858026,737280.0,0.0,6.178996424097445,3.6186819306943696,0.7665859375,0.13120673835942256,4.190810869171992,0.6237917929863701,4.85089812992069,0.04582060792853093,3840.0,0.0,0.7199999999999999,0.0
biased_agents,flocking_adaptive_momentum,100,1.3079655890803792,0.2644655558392403,1.3232409481284282,0.23537727085904134,2.9,8.736704184073076,3.6785446815726504,0.019676075272697973,4.525706709499126,2.5751353444841403,0.18286718749999994,0.08412537255849432,0.5713450252180647,0.0957475418496616,0.9086835029395297,0.03189563097194183,737280.0,0.0,6.5257067094991275,2.57513534448414,0.7671328125,0.08412537255849434,4.239652869378935,0.4215653696718513,5.115289165218092,0.09969282861471661,3840.0,0.0,0.6778761390840853,0.02460993913647554
