robot,arm,window,start_time,end_time,position_rmse,mean_nees,p95_nees,coverage95_rate,update_rate,maximum_landmarks_used,outage_fraction,outage_rmse,mean_topology_components,mean_topology_edges,minimum_topology_components,maximum_topology_components,mean_clock_alignment_error,runtime_seconds,finite
3,all_landmarks,23,1288973222.054,1288973281.554,0.3244231720476947,1.8687026632238417,7.265678137619977,0.9416666666666667,0.8583333333333333,6.0,0.0,0.0,3.65,1.4833333333333334,2,5,0.20888533188237085,0.04745775594242981,True
3,all_landmarks,24,1288973282.054,1288973341.554,0.39063830857004334,1.3748639141239662,4.3525371341402925,0.9916666666666667,0.7166666666666667,5.0,0.025,0.3412924431009332,3.2583333333333333,2.075,2,5,0.18888450927204556,0.04745775594242981,True
3,all_landmarks,25,1288973342.054,1288973401.554,0.3912634911930145,2.376055629748985,8.066823582103295,0.8833333333333333,0.875,8.0,0.0,0.0,3.841666666666667,1.3333333333333333,1,5,0.20305074501368736,0.04745775594242981,True
3,all_landmarks,26,1288973402.054,1288973461.554,0.3849575665679206,1.8817857462117804,6.25186421669302,0.9333333333333333,0.825,6.0,0.0,0.0,3.7416666666666667,1.3833333333333333,1,5,0.19704367558161417,0.04745775594242981,True
3,all_landmarks,27,1288973462.054,1288973521.554,0.2800376433849521,1.0801561558075543,3.030321478800088,0.9833333333333333,0.8916666666666667,5.0,0.0,0.0,3.95,1.1333333333333333,3,5,0.22825157940387725,0.04745775594242981,True
3,all_landmarks,28,1288973522.054,1288973581.554,0.443155080885123,2.9681467218272766,11.612751900320294,0.8666666666666667,0.7583333333333333,6.0,0.016666666666666666,0.15780266969823467,2.3833333333333333,3.0,1,5,0.19732534690035713,0.04745775594242981,True
3,all_landmarks,29,1288973582.054,1288973641.554,0.408769916446624,2.7171179789741435,7.787284086643207,0.8666666666666667,0.8916666666666667,6.0,0.0,0.0,3.0416666666666665,2.1166666666666667,2,5,0.23373573766814335,0.04745775594242981,True
3,all_landmarks,30,1288973642.054,1288973701.554,0.32175318913274936,1.7588694024662963,7.135284145996742,0.925,0.8416666666666667,5.0,0.0,0.0,2.9,2.75,1,5,0.19612394140826334,0.04745775594242981,True
3,all_landmarks,31,1288973702.054,1288973761.554,0.4171115707563189,1.914807102356807,6.011288458694593,0.9416666666666667,0.8583333333333333,6.0,0.0,0.0,3.45,1.8416666666666666,1,5,0.2125707470708423,0.04745775594242981,True
3,all_landmarks,32,1288973762.054,1288973821.554,0.4326584484711336,2.7192871332583723,8.265385600640654,0.9083333333333333,0.8583333333333333,7.0,0.0,0.0,3.2333333333333334,2.158333333333333,1,5,0.20745072853470606,0.04745775594242981,True
