algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,runtime_seconds,scenario,nees_calibration_error,coverage_calibration_error
flocking_fixed_momentum,26,0.6116908636652353,0.6116908636652353,1.0,0.6410504441829883,1.4942831733302875,0.9828125,1.543851067939459,3.7077458713424774,4.761639194507444,0.4482365381323719,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9275709169451147,no_change,0.5057168266697125,0.03281250000000002
flocking_fixed_momentum,27,0.599972769823527,0.599972769823527,1.0,0.6231124581423017,1.478590423381868,0.98125,1.6444696303968613,3.730594129025814,4.753081148320949,0.3378710830122838,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9604227498639375,no_change,0.5214095766181319,0.03125
flocking_fixed_momentum,28,0.6294542339616681,0.6294542339616681,1.0,0.6337850601540127,1.5607373850896638,0.984375,1.671786521684743,3.725273920091182,4.762346759536614,0.3565977130714568,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9572572920005769,no_change,0.43926261491033625,0.034375000000000044
flocking_fixed_momentum,29,0.6259555505863582,0.6259555505863582,1.0,0.6524619026912493,1.595607465506174,0.971875,1.7635384610863043,3.718300323311111,4.74726186584755,0.37862481687611993,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9511688749771565,no_change,0.40439253449382595,0.02187500000000009
flocking_robust_multiflock,0,0.6494753609450632,0.6494753609450632,1.0,0.6471652424393901,1.5519473831755526,0.9728794642857143,1.632067619030827,3.728901739926949,4.707535859941059,0.37779648827870876,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.8625,1.0,0.0,0.00625,0.00625,0.1375,0.31863134913740965,1.1611496249679476,no_change,0.4480526168244474,0.0228794642857143
flocking_robust_multiflock,1,0.6600115946712174,0.6600115946712174,1.0,0.6585650162391902,1.68862476198847,0.9666294642857143,1.6404100797309311,3.73574788763798,4.756876940437481,0.3286679148123232,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.95,1.0,0.0,0.0,0.0,0.05,0.2990980956659718,1.1733300420455635,no_change,0.31137523801153,0.016629464285714324
flocking_robust_multiflock,2,0.687744900044521,0.687744900044521,1.0,0.6938824148011189,1.7821119325657233,0.9722098214285715,1.6719389767217734,3.717972096667384,4.707951959549797,0.41374552585550217,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.90625,1.0,0.0,0.03125,0.03125,0.08125,0.29151680314719197,1.159114290960133,no_change,0.2178880674342767,0.02220982142857153
flocking_robust_multiflock,3,0.6859463375920446,0.6859463375920446,1.0,0.6886946615301291,1.8102227451427546,0.9591517857142857,1.7978473606797842,3.7264997650181506,4.7161496493255655,0.3844457159741564,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.90625,1.0,0.0,0.0,0.0,0.09375,0.30242457225428837,1.1669197920709848,no_change,0.1897772548572454,0.009151785714285765
flocking_robust_multiflock,4,0.5596982466950898,0.5596982466950898,1.0,0.5871108156247732,1.290464247113579,0.984375,1.5416823678404878,3.7209399772696115,4.757124638493375,0.3416485236864572,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.96875,1.0,0.0,0.0,0.0,0.03125,0.2741180467286223,1.2045291669201106,no_change,0.709535752886421,0.034375000000000044
flocking_robust_multiflock,5,0.6051481294707268,0.6051481294707268,1.0,0.6318520687067186,1.5500177100765877,0.98359375,1.725723794937143,3.7349001390903025,4.758468972403805,0.3374784540656683,,3840,737280,0.7199999999999999,0.0,0.0,0.0,0.0,0,1.0,0.0,7.975,1.0,0.0,0.0,0.0,0.025,0.28506606415177044,1.1931462911888957,no_change,0.44998228992341227,0.03359375000000009
