algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,scenario,rho,rho_label,tau,scenario_timescale,runtime_seconds,tau_to_timescale
flocking_fixed_momentum,8000,0.7373539548966019,0.7373539548966019,1.0,0.6500036252522653,0.6500036252522653,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7155910626085658,1.8416610813993182,0.95546875,1.7280255546920764,3.6131026287493326,4.822105222843558,0.5699810981901037,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,132.5689128185186,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.73162433388643,0.00450842200277801
flocking_fixed_momentum,8001,0.5782757868981749,0.5782757868981749,1.0,0.5172034553159828,0.5172034553159828,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6387802283136071,1.4142040941127938,0.98984375,1.6291628282963955,3.580635088412045,4.806500122580315,0.5600001884171348,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,146.03625520017314,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.687153249979019,0.00450842200277801
flocking_fixed_momentum,8002,0.676206776744935,0.676206776744935,1.0,0.5934931740300495,0.5934931740300495,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6830941150139894,1.610689822184188,0.9734375,1.6837734195829193,3.5379491233856535,4.799982131881713,0.5413819257937096,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,165.25422007744658,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.127715541981161,0.00450842200277801
flocking_fixed_momentum,8003,0.6567873925846874,0.6567873925846874,1.0,0.5818250733235236,0.5818250733235236,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.678009868879641,1.6753765332694783,0.96796875,1.6572445180946964,3.600157392466868,4.800940921395996,0.5181668293378524,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,136.37532141938638,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.550052334088832,0.00450842200277801
flocking_fixed_momentum,8004,0.6529905798214549,0.6529905798214549,1.0,0.5727523978906149,0.5727523978906149,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6723058617265455,1.5653505125905356,0.9828125,1.6725617019091659,3.6154320047555233,4.813268981623046,0.5702333125503871,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,131.7466598685463,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.260816332884133,0.00450842200277801
flocking_fixed_momentum,8005,0.6345940335764215,0.6345940335764215,1.0,0.5730206093383379,0.5730206093383379,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6610765116107656,1.4767590363429377,0.98515625,1.6879534128020666,3.5350083698597685,4.8098324517702356,0.5612418919047963,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,166.2043051271533,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.5044480410870165,0.00450842200277801
flocking_fixed_momentum,8006,0.6559860515650039,0.6559860515650039,1.0,0.5810518672247038,0.5810518672247038,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6892970473945272,1.694436176939614,0.9734375,1.6355881302379907,3.6100597886396146,4.794704465048286,0.5416933066645377,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,135.7443182618027,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.38941637519747,0.00450842200277801
flocking_fixed_momentum,8007,0.5975302143944171,0.5975302143944171,1.0,0.5239221022451248,0.5239221022451248,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6559271140414299,1.49939673145286,0.975,1.605973038420617,3.587590789249414,4.796712077330078,0.5499948805803125,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,147.55660153367057,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.637203040998429,0.00450842200277801
flocking_fixed_momentum,8008,0.620912042780134,0.620912042780134,1.0,0.5484255369652967,0.5484255369652967,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6594746508363177,1.5129471762653668,0.98046875,1.6406585294537916,3.615157352156861,4.817600410686363,0.5725607644723825,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,130.28583533014424,no_change,0.25,rho_0_25,0.7213475204444817,160.0,7.061386291868985,0.00450842200277801
flocking_fixed_momentum,8009,0.5658389186862027,0.5658389186862027,1.0,0.4977462300724566,0.4977462300724566,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6084373112363431,1.297839103555557,0.984375,1.618465490704947,3.58255216925764,4.793630433462703,0.5363436558020733,8.0,1.0,0.0,0.0,,3840,737280,0.25,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,145.88800306761547,no_change,0.25,rho_0_25,0.7213475204444817,160.0,6.830734999850392,0.00450842200277801
