scenario,rho,rho_label,tau,scenario_timescale,tau_to_timescale,runs,position_rmse_mean,position_rmse_std,agent_position_rmse_mean,agent_position_rmse_std,information_gain_mean,information_gain_std,spatial_diversity_mean,spatial_diversity_std,estimate_disagreement_mean,estimate_disagreement_std,movement_distance_mean,movement_distance_std,coverage95_rate_mean,coverage95_rate_std,mean_nees_mean,mean_nees_std,runtime_seconds_mean,runtime_seconds_std
abrupt_change,0.85,rho_0_85,6.153129380622034,80.0,0.07691411725777543,30,0.6603036622472652,0.03834386014555742,0.6698563628231736,0.030441826911380136,3.7229857450049924,0.005641418778197146,4.767608036577744,0.013577566343141702,0.3582399611106764,0.026885254536896646,193.80260933858744,22.532487400672483,0.9674218749999999,0.011603863934186968,1.7140581706631395,0.1638282735416104,6.684766188970146,0.27497352743078274
abrupt_change,0.93,rho_0_93,13.779667258736438,80.0,0.17224584073420549,30,0.6442586795833894,0.03492416401196523,0.6594020174840102,0.026654347390532084,3.7241326321879495,0.004225520161771582,4.767437520754273,0.01582892844113647,0.3502047654611993,0.026596805112677712,200.86280917199517,20.53898341317665,0.9688020833333331,0.013282679661614049,1.664771831766749,0.13149175419905623,6.749912390198248,0.27975879184128094
gradual_10,0.0,rho_0_00,0.0,10.0,0.0,30,0.7226708450950986,0.058841112710512525,0.7480829274190243,0.04005388017455351,3.391164493744887,0.06815188072001808,4.870169021962506,0.023571650855803164,0.586671397392385,0.02878375290985663,187.18039003055003,19.34924708403129,0.9724739583333334,0.011880281400476755,1.6341102980775122,0.13668016732604868,6.732761636166833,0.27661716036930933
gradual_10,0.25,rho_0_25,0.7213475204444817,10.0,0.07213475204444816,30,0.679636434739015,0.04996843245104361,0.7042497772659474,0.03221679502129393,3.5115500177820334,0.05110375610840621,4.808526630756251,0.023850370010390254,0.5697559314179327,0.017962612638569183,175.623956826235,22.14567402315021,0.9734895833333336,0.010976369425447052,1.6243889646957286,0.13601390771962885,6.724833202858766,0.2991559905792751
gradual_10,0.5,rho_0_50,1.4426950408889634,10.0,0.14426950408889633,30,0.6559687712734755,0.038067872764303554,0.6806652270773388,0.02705573767581355,3.6231207204963245,0.029849835098074932,4.775429224575013,0.028546183105224755,0.5243821177801907,0.0359613448427046,179.51382320665826,22.05717577852247,0.972734375,0.009414737830203149,1.6495287584966873,0.13899454854438872,6.689127055454689,0.3393769983402943
gradual_10,0.72,rho_0_72,3.04410234313819,10.0,0.304410234313819,30,0.6358557726304831,0.03082779806960716,0.6548270422392772,0.02193442621448108,3.7006239881217686,0.01126611375845811,4.772406915883712,0.027516916278684387,0.42435269359381383,0.032344291093899614,184.37237629215906,22.09311036072092,0.9770572916666667,0.00936084724554961,1.5944563903744866,0.11695832986632337,6.696485575078986,0.322418704979731
gradual_10,0.85,rho_0_85,6.153129380622034,10.0,0.6153129380622034,30,0.6417172381320957,0.04074239287858427,0.652310350900103,0.03131577354507548,3.7266279217838365,0.004906144490234255,4.7681290022153195,0.011937041569733742,0.3471642000615725,0.02565322658178967,189.86633262725007,22.079733639334044,0.9738020833333333,0.010387459051931601,1.6356220334865883,0.15979243065308824,6.694889820856043,0.2586714278613205
gradual_10,0.93,rho_0_93,13.779667258736438,10.0,1.3779667258736439,30,0.6414372848576176,0.03241340696277459,0.651179337623772,0.024641080859916443,3.728357548921947,0.0048406490076008885,4.768782303395438,0.01679535302961127,0.34128968888414984,0.030050198658134932,196.5449463952536,21.50904868540831,0.9722395833333333,0.009359217038641048,1.6327368126465922,0.11487422925578586,6.720087315305136,0.30743485946008947
gradual_20,0.0,rho_0_00,0.0,20.0,0.0,30,0.7154228562385769,0.054322446326840836,0.742111296600644,0.0370541900412863,3.4036045947954587,0.06745066624183732,4.86933815681291,0.02016790346168374,0.5855213041749795,0.028488734037973893,183.06758223755227,19.397031734324255,0.9733854166666668,0.009972156331993711,1.624998830001652,0.12491138870168918,6.7219257832271975,0.27571196925832914
gradual_20,0.25,rho_0_25,0.7213475204444817,20.0,0.03606737602222408,30,0.6772106935463303,0.052843767692813196,0.7014516275537351,0.034051645968714433,3.5208001052900113,0.050084167657299235,4.808518616208285,0.02370956941691459,0.564984650972126,0.01940436586541593,171.4069337834152,21.99956068331192,0.9737760416666668,0.011567924074980515,1.6222170438752783,0.14103970934585,6.703735786117614,0.3477037952654258
gradual_20,0.5,rho_0_50,1.4426950408889634,20.0,0.07213475204444816,30,0.6503661105391987,0.03558812029920211,0.6747444603943386,0.02359679514334481,3.6289717749028365,0.02915575156446545,4.775316081875763,0.02827319062520728,0.5198134255875434,0.040347317312868614,175.088372991102,21.951170221484045,0.97484375,0.007668994494880022,1.6245472338727671,0.12031366446103442,6.742540718095067,0.2450640504063756
gradual_20,0.72,rho_0_72,3.04410234313819,20.0,0.1522051171569095,30,0.6397076167441924,0.037077468896920325,0.6571821052746543,0.027406110827742435,3.7034026607177273,0.010977013562193338,4.7735614046190005,0.02876511674076548,0.4187321130795594,0.0365419665554852,179.6616236808442,22.122105726457328,0.9754166666666665,0.010475226023483,1.6115454268960392,0.14614108975186763,6.704266609732683,0.24171505288693848
gradual_20,0.85,rho_0_85,6.153129380622034,20.0,0.3076564690311017,30,0.6404622080337823,0.04079653597445992,0.6510501209365628,0.03196514999729054,3.728434804071615,0.004921824307025601,4.769554489124877,0.0138117370929786,0.3467464717353282,0.027235949137808576,184.81462638117807,21.876721047657405,0.9755208333333333,0.009741811242511441,1.6304784451414067,0.1597829321668666,6.757216213899665,0.29938429799036076
gradual_20,0.93,rho_0_93,13.779667258736438,20.0,0.6889833629368219,30,0.6344550119101177,0.026480481230100182,0.6459090149595819,0.020758558139848567,3.7307218823423676,0.00449239955572145,4.768500765928589,0.01733402780993656,0.33515600787352123,0.026359131595133773,190.82657760768217,21.272388442508678,0.9741666666666666,0.008629031113131352,1.6092628978256203,0.10218748895136102,6.755354341678322,0.34776474718394834
gradual_40,0.0,rho_0_00,0.0,40.0,0.0,30,0.6988804098105599,0.05252039987604499,0.7265440038716983,0.03554545122907051,3.429312006925871,0.06656417794115035,4.870177139827035,0.02365371104268298,0.5782488398441075,0.029936140639513883,176.54103734496672,19.185317146174476,0.9750260416666666,0.009326007692890199,1.5947523582864946,0.13682981627065272,6.766270113969222,0.25556002361756675
gradual_40,0.25,rho_0_25,0.7213475204444817,40.0,0.01803368801111204,30,0.6646879410089379,0.05102948755079153,0.690431062746662,0.0340098154815638,3.5405908677906237,0.04860893488496556,4.8089895779866625,0.023833784877903347,0.5591071037835953,0.022662282032153546,162.63953808507983,21.87592043695963,0.9744791666666666,0.011604185368028026,1.598133868636182,0.1482959760896241,6.680086994543672,0.3121471364483514
gradual_40,0.5,rho_0_50,1.4426950408889634,40.0,0.03606737602222408,30,0.6426961066441471,0.03210376263742092,0.668062096201133,0.022093393435408913,3.640351380762704,0.027501714868385742,4.776613557957762,0.026998977693264273,0.5126573262191888,0.04689893653907524,166.01269496631022,21.941267068602716,0.9755989583333332,0.007741035992543061,1.601552014453599,0.11346813796253166,6.68912414436539,0.261829991118218
gradual_40,0.72,rho_0_72,3.04410234313819,40.0,0.07610255857845474,30,0.6447797189469834,0.038670337890535304,0.6584667854990922,0.02687412221622915,3.7076201254813856,0.01068953365517783,4.770430279100436,0.021167848280565987,0.4083558433876331,0.03242224156799169,170.7033404969549,21.90567083773192,0.974296875,0.010919535097465995,1.6255137484986868,0.14843163870519757,6.724362545770903,0.23655897573036175
gradual_40,0.85,rho_0_85,6.153129380622034,40.0,0.15382823451555086,30,0.6357584174553462,0.03862635479269516,0.6459810235406406,0.03142911166626058,3.730449898816781,0.004303533025293224,4.766629506473465,0.011509816198831638,0.3415031088997373,0.025884489314569843,175.69680380073478,21.945331412463705,0.9766666666666666,0.009069980150505043,1.6081592197221424,0.16129665715246883,6.759054436193158,0.33301639058513643
gradual_40,0.93,rho_0_93,13.779667258736438,40.0,0.34449168146841097,30,0.6403383506768336,0.025994296828567808,0.6480762865759385,0.02085901181538471,3.730906704284228,0.0039813900480035495,4.768816720184318,0.016004890005817573,0.3350889020704504,0.027641292122141455,182.08628284455185,21.128457577930167,0.9735416666666665,0.007905007862460086,1.6217982841928,0.1018687375162956,6.744574056969335,0.3163343812243304
repeated_20,0.0,rho_0_00,0.0,20.0,0.0,30,0.7047752080968092,0.051638948939646316,0.7325107406069851,0.04200561289916948,3.5297133274387886,0.06219064402434991,4.875129243096835,0.023850028243017535,0.5453743546411419,0.02656647850810565,150.56244959692089,18.131905297939475,0.9577864583333333,0.0173107363785315,1.791298440388517,0.1559167642040462,6.7704360070250305,0.25068314921374274
repeated_20,0.25,rho_0_25,0.7213475204444817,20.0,0.03606737602222408,30,0.6967488150764377,0.036065282448435265,0.7160945686929634,0.03086168831701521,3.608043994043093,0.04487723768275171,4.809529995706976,0.023621528057964,0.535365344867282,0.03200693673198187,132.93920096336254,22.408774813994018,0.9568489583333333,0.014803513631635354,1.8274653617969074,0.12295580602730007,6.746496019496893,0.26528280246908864
repeated_20,0.5,rho_0_50,1.4426950408889634,20.0,0.07213475204444816,30,0.6806877215794965,0.03636158945764,0.7017894252453601,0.0300647194828939,3.673765064880178,0.02593158734318471,4.777362347445217,0.026968774309599618,0.4880201788898659,0.06523604188715175,139.00248432116186,23.66898190286447,0.9586979166666666,0.014803582348446,1.810134387569602,0.1457003718990816,6.702084358393525,0.34346036403590446
repeated_20,0.72,rho_0_72,3.04410234313819,20.0,0.1522051171569095,30,0.6675002901400416,0.03123727901679624,0.6850755403841013,0.02549794366092318,3.7143089054324685,0.01234023174854684,4.772154895420004,0.023760791374750078,0.38260296996464266,0.03832746637499123,147.23907825522258,24.942472489887443,0.9635677083333334,0.014264297659436792,1.7719247196830001,0.12506497792339236,6.696682112508764,0.29973915990416267
repeated_20,0.85,rho_0_85,6.153129380622034,20.0,0.3076564690311017,30,0.6777002943050547,0.03935169881802061,0.6878172280310486,0.03290797493915511,3.7229496174117194,0.009148590791217175,4.768546774619178,0.013040580000434157,0.3542615458531785,0.023218178384350533,155.25460786645905,24.834629719503567,0.9602083333333334,0.015084308065880559,1.8181799555111295,0.17176425640823037,6.796664104051888,0.25880453707476714
repeated_20,0.93,rho_0_93,13.779667258736438,20.0,0.6889833629368219,30,0.6761594127458945,0.030826589618437913,0.6894472677919562,0.028166461198094773,3.713959195627392,0.008578487495994708,4.771822326558278,0.013540215084376328,0.3713441520016151,0.03018461479412258,166.33683582163764,22.687794201128362,0.9619010416666666,0.013262369136502253,1.806543671316594,0.13442359328912992,6.773348051480328,0.24653616354861782
repeated_35,0.0,rho_0_00,0.0,35.0,0.0,30,0.7086372567973511,0.05149392295004605,0.7310706340979216,0.03965232962605133,3.521481602396173,0.06284892253940552,4.875654945774955,0.02913381286633446,0.5503341754384512,0.025680187974565574,153.66842065821922,16.515535189334923,0.9585937499999999,0.014471764444801923,1.7750622601988508,0.1597614189085536,6.7840864901663736,0.307355208795685
repeated_35,0.25,rho_0_25,0.7213475204444817,35.0,0.02060992915555662,30,0.6855769473823773,0.047009961758428774,0.7067702048779175,0.03534442703314298,3.604600088480392,0.04456264916424716,4.8081821945955,0.020414755840404333,0.5461107437000539,0.02714227574543855,135.11472345707662,22.073808464578143,0.96125,0.01368057758740471,1.7772662318655519,0.16111550260336693,6.796026736140872,0.25998584331001934
repeated_35,0.5,rho_0_50,1.4426950408889634,35.0,0.04121985831111324,30,0.6761366181907451,0.03964665317330875,0.6987730324514081,0.03203598544855062,3.6732816960453887,0.024142719368078516,4.778359544149366,0.02722876873496407,0.49352745301955264,0.06969108507568925,140.39990365214214,22.784529262897166,0.9584635416666668,0.01627187446653009,1.7954975423305986,0.16275305301777732,6.8513955887795115,0.32908467449960727
repeated_35,0.72,rho_0_72,3.04410234313819,35.0,0.08697435266109114,30,0.6727999862109619,0.037091797910179775,0.6869096382749186,0.030318685641646546,3.7149616269595707,0.011927248446666481,4.771726612479546,0.028782994790957018,0.3819034570009033,0.03640228025535162,147.5045543187208,23.540307968749783,0.9619010416666666,0.014317257404685228,1.7848280277719695,0.1627438017245497,6.776802656884926,0.3143889793812886
repeated_35,0.85,rho_0_85,6.153129380622034,35.0,0.17580369658920098,30,0.6668468409218344,0.03397939996427948,0.6801373798831509,0.03147109130325296,3.72547795293674,0.008352970181187228,4.767094214317914,0.013269084262338145,0.35150218532221206,0.02589610444590529,155.34956618168255,24.137659923402254,0.9641927083333334,0.012062802466343128,1.778458850446345,0.15302024153036448,6.842394861058953,0.29094964517589367
repeated_35,0.93,rho_0_93,13.779667258736438,35.0,0.3937047788210411,30,0.6672479813689528,0.03304395697651788,0.6811935030561497,0.03236897284676122,3.717626296913804,0.007896073496980429,4.7688831801036455,0.01717925942542658,0.3651384999883462,0.03386398859149066,165.83396066433346,22.161373437378895,0.962005208333333,0.01714896643230083,1.7668573139633712,0.14964894859871042,6.834862888720818,0.33963475249767455
repeated_50,0.0,rho_0_00,0.0,50.0,0.0,30,0.6885341733770693,0.04308594617712693,0.7162856666194612,0.03046874336770996,3.513577682154984,0.06382411144578655,4.876318018052455,0.02694349082436625,0.5508266352712098,0.029011007752632868,155.61642464607309,17.136494720448336,0.9655208333333332,0.009214629493440788,1.690350908699161,0.12818833484252498,6.708451220835559,0.3221100282685482
repeated_50,0.25,rho_0_25,0.7213475204444817,50.0,0.014426950408889633,30,0.677695654000612,0.04106536145194429,0.697552113488148,0.03004969570420582,3.60034654040662,0.04566324561340485,4.809064125749481,0.021410808522639876,0.5433490722328135,0.030562232360792144,137.01519827737772,22.043235365830302,0.965234375,0.011531048863421971,1.7286025417563138,0.14211707419184166,6.641277638908165,0.24203780562476843
repeated_50,0.5,rho_0_50,1.4426950408889634,50.0,0.028853900817779266,30,0.6701584661117934,0.032564509090081656,0.6907134645685886,0.023607370558510025,3.6728613455111314,0.02395292816456635,4.776892426680536,0.02674880643553934,0.49233918176822444,0.05959831146686887,141.46934758407593,22.612992483899145,0.9627343750000001,0.011468065232736156,1.753005961714663,0.12884447191599954,6.783903015420462,0.36218196176773126
repeated_50,0.72,rho_0_72,3.04410234313819,50.0,0.0608820468627638,30,0.6662194892199556,0.030205865122994387,0.6766724791871476,0.02298683174621079,3.716665921710941,0.011013998344999382,4.7719028914798844,0.029945050069300278,0.3770881290499032,0.03715533101258341,147.66640173460715,23.3327784001679,0.9658593749999999,0.013276883473376763,1.7322249255208282,0.1257286184787897,6.759380851352277,0.26062074425634946
repeated_50,0.85,rho_0_85,6.153129380622034,50.0,0.12306258761244068,30,0.6533686822826803,0.0298934155776602,0.6660070017574768,0.024368239860887455,3.7286866062201276,0.006490788053814606,4.767503581933018,0.01439503763620281,0.3428518566932139,0.022856467324614348,154.8545667731135,23.505113160163475,0.9675260416666666,0.010310691392328998,1.7086659516176517,0.12407964817910108,6.715924280757705,0.2938939392865891
repeated_50,0.93,rho_0_93,13.779667258736438,50.0,0.2755933451747288,30,0.6585590094621192,0.02649511258689299,0.672381248742562,0.0234024562793267,3.72054460458305,0.007020641017520877,4.769940648460335,0.015880690778808892,0.3586142750793974,0.03319569013513156,166.18602577340783,21.859568242235273,0.9676562499999999,0.009852426731521534,1.7252349728073795,0.1120633248570795,6.359989458407896,0.7892654788909548
