scenario,rho,rho_label,seed,rmse_improvement,diversity_change,disagreement_change,information_change,movement_change
abrupt_change,0.25,rho_0_25,8016,0.00330798239380814,-0.07358202227276323,-0.03354408278292498,0.10901497672356797,-14.694318078794538
abrupt_change,0.25,rho_0_25,8017,0.04404489774252751,-0.055267545765731896,0.03064544495283772,0.12057716776626881,-13.61005859648975
abrupt_change,0.25,rho_0_25,8018,0.09136565159591248,-0.01473931613473578,-0.03810209277780319,0.12823003996774185,-11.104644087602594
abrupt_change,0.25,rho_0_25,8019,0.0015004704502691313,-0.06417836741779226,-0.06245062256049472,0.14049820710261285,-6.5078443681035765
abrupt_change,0.25,rho_0_25,8020,0.04428291589378186,-0.02739007359845136,-0.0014729476329632396,0.09775819784644124,-13.499603451840784
abrupt_change,0.25,rho_0_25,8021,0.04791852369459648,-0.09694317492992255,-0.020784456748147773,0.10004425019435104,-16.45570137365152
abrupt_change,0.25,rho_0_25,8022,0.08052019482560946,-0.062324620381174256,-0.015586658027400335,0.12905953212261867,-6.355596990778338
abrupt_change,0.25,rho_0_25,8023,0.04708522759264833,-0.05503493185054076,-0.0197026695164364,0.12593744501358373,-12.76853179652636
abrupt_change,0.25,rho_0_25,8024,0.054346662854621086,-0.06127981603101329,-0.009477089842982345,0.12890413380007093,-10.658401736778046
abrupt_change,0.25,rho_0_25,8025,0.021349282943422088,-0.06013477372725262,-0.02155209953818016,0.11096838742536752,-1.5567799143502157
abrupt_change,0.25,rho_0_25,8026,0.07479769072303832,0.03351192403223724,0.009420826059993614,0.15133299660632904,-4.929543215710709
abrupt_change,0.25,rho_0_25,8027,0.08079825039326283,-0.07118359926191165,-0.03459813457590499,0.14044754517929325,-6.780591074548511
abrupt_change,0.25,rho_0_25,8028,0.03811886009443288,-0.086536054743787,-0.051623677910062726,0.11071809103959529,-24.453659281834405
abrupt_change,0.25,rho_0_25,8029,0.0742382562046221,-0.04791141998762338,-0.0363188685534922,0.11481709752389113,-1.8583744678901155
abrupt_change,0.5,rho_0_50,8000,0.017743386240295145,-0.05074894316193301,-0.08558460655678113,0.23461009455203286,-4.907860641162188
abrupt_change,0.5,rho_0_50,8001,0.012127274913849129,-0.10723369314433207,-0.022587014670542915,0.1988934857186222,-10.593318211636301
abrupt_change,0.5,rho_0_50,8002,0.11552335287372995,-0.0900767516203862,-0.08133508864114325,0.30258873741081693,3.5121284780614417
abrupt_change,0.5,rho_0_50,8003,0.056436553592519534,-0.11097595466760968,-0.03836646667473331,0.2465990719936304,-2.094816312361729
abrupt_change,0.5,rho_0_50,8004,0.07291558909558571,-0.08925967340737895,-0.10283491303000575,0.10880493726676299,-24.39253580263528
abrupt_change,0.5,rho_0_50,8005,0.02959409397089585,-0.06913643588827956,-0.10170056937271732,0.276734081128271,-4.4520347039896535
abrupt_change,0.5,rho_0_50,8006,0.09850375940999312,-0.08304297712241127,-0.0827310525565832,0.23571907778474976,-4.518970483700173
abrupt_change,0.5,rho_0_50,8007,0.07796623919559775,-0.11283348442348995,-0.04644303489420487,0.22325825270143929,-10.359459206341967
abrupt_change,0.5,rho_0_50,8008,0.06961760374683745,-0.08094458640608426,-0.08404429644301581,0.23881228546583744,-2.5092334839370096
abrupt_change,0.5,rho_0_50,8009,0.0647253452942792,-0.0861958495598687,-0.07770594070552084,0.2595238985777595,2.267564267118644
abrupt_change,0.5,rho_0_50,8010,0.02656492002289812,-0.09470067233095047,-0.09314850727399615,0.19170259327626482,-5.2524376227125344
abrupt_change,0.5,rho_0_50,8011,0.047069598501261356,-0.10847146190125301,-0.05697642687985649,0.22020016885723015,-13.562977859743853
abrupt_change,0.5,rho_0_50,8012,0.08233819685431654,-0.06891210315322294,-0.016429226983475043,0.26987126227592606,-0.8785136987225997
abrupt_change,0.5,rho_0_50,8013,0.07025666493910043,-0.1035368229143101,-0.039261570800198764,0.26257621491691774,-7.008605887113333
abrupt_change,0.5,rho_0_50,8014,-0.0010782650608498479,-0.12490236709544789,-0.052241055237422285,0.2947596836321651,-0.2629514383167191
abrupt_change,0.5,rho_0_50,8015,0.06853368499467827,-0.10115368152958037,-0.03936459301969952,0.21492235672337046,-4.368851842146341
abrupt_change,0.5,rho_0_50,8016,0.15942897934467182,-0.07135532226875796,-0.11973051332256845,0.2260957145643463,-11.186480258824844
abrupt_change,0.5,rho_0_50,8017,0.16365250957061206,-0.09323164815405072,-0.091653096936828,0.2351569858985152,-9.039174947427284
abrupt_change,0.5,rho_0_50,8018,0.12905610664343137,-0.06430116487731574,-0.0719386544787981,0.2476679144136682,-7.418762776785513
abrupt_change,0.5,rho_0_50,8019,0.04933629462655531,-0.07756326748898079,-0.04926127437102468,0.2663972774355088,-3.0321667334981157
abrupt_change,0.5,rho_0_50,8020,0.09432464186503808,-0.07049865567668157,-0.044989416111218206,0.17595964273814024,-10.074341331010089
abrupt_change,0.5,rho_0_50,8021,0.0295144349066907,-0.12911108707742525,-0.03073797967958325,0.17965342073510104,-12.674304643107575
abrupt_change,0.5,rho_0_50,8022,0.050421582807975596,-0.1189101118964615,-0.0713010927276333,0.2501796447562574,-2.1409362943564645
abrupt_change,0.5,rho_0_50,8023,0.06732085593649362,-0.11733093999722044,-0.033280521747121816,0.2514127747791406,-8.19629066111412
abrupt_change,0.5,rho_0_50,8024,0.0719196101914703,-0.104784859828845,-0.017344369393555548,0.2538464223436452,-6.082354708129117
abrupt_change,0.5,rho_0_50,8025,0.03737671268085707,0.058503359277149336,-0.14816113786654617,0.21534929281901327,3.6459562513071546
abrupt_change,0.5,rho_0_50,8026,0.1621388751814795,-0.11197998222801431,-0.05873009899967263,0.2960134787770934,-3.2350730607071227
abrupt_change,0.5,rho_0_50,8027,0.11614497772867982,-0.08840198520572162,-0.06666044693474316,0.2684698830960852,-2.5613013360504056
abrupt_change,0.5,rho_0_50,8028,0.11655195657327799,-0.1449543943038929,-0.1194481955566079,0.21786021957662527,-20.547042013306736
abrupt_change,0.5,rho_0_50,8029,0.022667655361096717,-0.08729880678284996,-0.08422360689540531,0.22420618896797695,2.1062598752803012
abrupt_change,0.72,rho_0_72,8000,0.08835168449096864,-0.08269492075429064,-0.15914467255342152,0.3095963822736878,0.6448856724728387
abrupt_change,0.72,rho_0_72,8001,-0.044864624333862624,-0.12792442456008057,-0.1634398646615367,0.2541625809341177,-5.657938201296332
abrupt_change,0.72,rho_0_72,8002,0.14409514575320959,-0.08302992346893223,-0.1969529076125484,0.4116744812064965,7.450714614892036
abrupt_change,0.72,rho_0_72,8003,0.03629528221982159,-0.08678714087329276,-0.118961005513334,0.3232966677103377,4.030617456335193
abrupt_change,0.72,rho_0_72,8004,0.03400106732670227,-0.09643231611000225,-0.1819981885966434,0.13710650944270952,-18.116575322764504
abrupt_change,0.72,rho_0_72,8005,-0.0002867676865614399,-0.05819844435072952,-0.20092957052401372,0.3785354502948035,0.49913820634321837
abrupt_change,0.72,rho_0_72,8006,0.05423813551704648,-0.09287491557651428,-0.14281865373196817,0.31256472060374474,1.9334896560476125
abrupt_change,0.72,rho_0_72,8007,0.04444488745234121,-0.14332819757528004,-0.17503985615922574,0.29365036479576556,-3.9748758743124313
abrupt_change,0.72,rho_0_72,8008,0.05258299313131365,-0.0710571051056279,-0.17051870556228416,0.3158916967597598,4.232984099885243
abrupt_change,0.72,rho_0_72,8009,0.08053321254441959,-0.0843037898054444,-0.13873463403252784,0.35254935157245937,7.393413796291952
abrupt_change,0.72,rho_0_72,8010,0.014467053422548948,-0.09907370565462337,-0.1871787835391664,0.24386075961657028,0.099819783494695
abrupt_change,0.72,rho_0_72,8011,-0.013891308579863093,-0.11607238168510214,-0.10894640325728433,0.2922147082247064,-8.730255303875822
abrupt_change,0.72,rho_0_72,8012,0.12090260107036033,0.02133587807134063,-0.2640169815685859,0.3631169360929376,4.893391901825822
abrupt_change,0.72,rho_0_72,8013,0.05793630221013779,-0.1034160106759261,-0.15232853347104214,0.3575821657987226,-1.9029047399495482
abrupt_change,0.72,rho_0_72,8014,0.03049817332231375,-0.16105892137190025,-0.14704166163386834,0.4122299133919367,5.343505904725248
abrupt_change,0.72,rho_0_72,8015,-0.003620941831104618,-0.10030098638434026,-0.14988368879025793,0.2773471771958613,1.3846064515945216
abrupt_change,0.72,rho_0_72,8016,0.18882232548472777,-0.0928548099102322,-0.17775633504898453,0.3105932861722067,-6.109973088243322
abrupt_change,0.72,rho_0_72,8017,0.17422865643507535,-0.1091162468861997,-0.12489887381257303,0.32272649113026564,-4.928984141682179
