seed,policy,dose,truth_mode,resolved,resolution_steps,selected_mode,wrong_selection,total_decision_loss,decision_cost,movement_cost,movement_distance,mean_discriminability,maximum_discriminability,final_truth_probability,final_entropy,trace_fingerprint,arm
7061,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,ca29748fca86eca3850c9e56eb5b490df97afd61b1e020d75364ca7975794f71,passive
7062,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,b81643f0d750735e5bd604185058b80178c6bbfc6201e624df8b91c9cdb2079a,passive
7063,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,e63d513ca3c9ab94dbaa90d05d4d3c30fe2f5659502dda693775cdc1f86c8861,passive
7064,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,25909e73e86f456687c885066dd1f074485720a9b59ce9528619d41ffe8b3df0,passive
7065,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,41355a0ef264f44cf830228829781718b5c323161b991d765cdb86a00229dedd,passive
7066,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,96b3ae07d9482b588e75b197b8d8577829c82e521d138f6639597f4fba30bce0,passive
7067,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,38f642f72e29aacbc28d10e30bcb6520cc04d5197daef2386dc27cc8dd481044,passive
7068,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,2748c6bf85b3b60c90357f73b9aabde40d91e7be78923d13a578e6c0d373c7ec,passive
7069,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,7a655461fb986c1cd825344f0cdc476c727f188270113f72be2014a1d9301190,passive
7070,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,a7001ac6c2c826a87f73125534d76ad777aac43a3ae1b75deed5aff99172a831,passive
7071,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,298d3ffab9a346bf768d911b46259f9119e6ed945f8db24cce6752d5dfc89390,passive
7072,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,6a4098ac46f9730cc23f31d84cbe86d9147a94d79259930574c52173b3b185e0,passive
7073,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,94efa19f436e616f4f1a51aeb689488be715423fa06ac3b266f70753c4939445,passive
7074,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,1c215c6a5f94f0c7a3d2297446195750dd99ba4ac9a3cd0d7c8f3dfa467055e5,passive
7075,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,d56201e9a7b2c6f87706ed793e0efbd8704a578bad6d790ab742627e4499f98d,passive
7076,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,2088f3321f8d987c8275ef63d04fe1f3a4ffcd8dc3ad771126aa2aa06843ae6c,passive
7077,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,3fba7a5c97754e9785fcff6e044cc0bb96bb01a547e3a8672648573d120fcadc,passive
7078,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,edea8af08fcb6a3dcba1d045cf31042cb9b3279a5665245b5623c09de95fdda3,passive
7079,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,991c15217f9131b9a16ab4241bb98e11bdf16efb701f6d93841dad7917f69a1a,passive
7080,passive,0.0,0,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,637aca2916434ac278d3d0fae8e2f2a8df453f4e46f1ec1acbd981d3c2131414,passive
7081,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,80e4c12954b37965d3574b66a837efecfbceec800f61d8e5c15a6d70f30a2e4f,passive
7082,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,59e6e81dfbd48940341eac1f656d112ab541593686b42a341fc9286d046ebdb8,passive
7083,passive,0.0,1,False,30,-1,False,6.000000000000003,6.000000000000003,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,9557896c2be483361c4e183ca3d4d85f8e9eae0c29f613c521ca681c552d8500,passive
