metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
coverage95_rate,higher,2,0.965625,0.96875,0.003124999999999989,0.0,0.006249999999999978,1,1,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,2,2.13125,2.0125,0.11875000000000013,0.04375000000000018,0.1937500000000001,2,0,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,2,0.6106023392816156,0.6275798287089706,-0.01697748942735494,-0.04411262124909299,0.010157642394383104,1,0,1,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,2,0.4820908978532597,0.4993200555570164,-0.017229157703756687,-0.04280642610903296,0.008348110701519584,1,0,1,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,2,0.856742942855706,0.8550651543463612,0.0016777885093447464,-0.008707967600400268,0.012063544619089761,1,0,1,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,2,0.0,0.0,0.0,0.0,0.0,0,2,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,2,1.8357711775241503,1.8399334340931746,-0.004162256569024136,-0.00787992318724684,-0.0004445899508014328,0,0,2,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,2,0.965625,0.9625,-0.003124999999999989,-0.006249999999999978,0.0,0,1,1,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,2,1.0,1.0,0.0,0.0,0.0,0,2,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,2,2.0718750000000004,2.109375,-0.03749999999999987,-0.043749999999999734,-0.03125,0,0,2,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,2,0.6356507456427416,0.6275798287089706,0.0080709169337711,-0.007824515436381518,0.023966349303923717,1,0,1,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
